tpy:CQ11_00010	rRNA	750..866	5S ribosomal RNA
tpy:CQ11_07900	CDS	1674517..1675140	ribonucleoside-triphosphate reductase activating protein
tpy:CQ11_07905	CDS	complement(1675137..1676981)	acyltransferase
tpy:CQ11_07910	CDS	1677654..1679534	hypothetical protein
tpy:CQ11_07915	CDS	1679544..1680215	ABC transporter ATP-binding protein
tpy:CQ11_07920	CDS	complement(1680254..1681039)	IclR family transcriptional regulator
tpy:CQ11_07925	CDS	1681242..1682843	dioxygenase
tpy:CQ11_07930	CDS	1682840..1683979	mannonate dehydratase
tpy:CQ11_07935	CDS	1683979..1684623	keto-deoxy-phosphogluconate aldolase
tpy:CQ11_07940	CDS	1684620..1685723	sugar kinase
tpy:CQ11_07945	CDS	complement(1686119..1686880)	phosphonate ABC transporter ATPase
tpy:CQ11_07950	CDS	complement(1686889..1687875)	ABC transporter substrate-binding protein
tpy:CQ11_07955	CDS	complement(1687889..1688908)	ABC transporter permease
tpy:CQ11_07960	CDS	1689311..1691074	ABC transporter ATP-binding protein
tpy:CQ11_07965	CDS	1691076..1692818	ABC transporter ATP-binding protein
tpy:CQ11_07970	CDS	complement(1692760..1693776)	LacI family transcriptional regulator
tpy:CQ11_07975	CDS	1693950..1696034	alpha-galactosidase
tpy:CQ11_07980	CDS	1696031..1697359	sugar-binding protein
tpy:CQ11_07985	CDS	1697362..1698267	ABC transporter permease
tpy:CQ11_07990	CDS	1698300..1699118	sugar ABC transporter permease
tpy:CQ11_07995	CDS	1699239..1702070	N-acetyl-beta-hexosaminidase
tpy:CQ11_08000	CDS	1702677..1703690	hypothetical protein
tpy:CQ11_08005	gene	complement(1704072..1707113)	pseudogene
tpy:CQ11_08010	CDS	1707251..1707466	hypothetical protein
tpy:CQ11_08015	CDS	1707463..1707735	plasmid stabilization protein
tpy:CQ11_08020	CDS	complement(1707751..1708155)	restriction modification system subunit S
tpy:CQ11_08025	CDS	complement(1708495..1709847)	transposase
tpy:CQ11_08030	gene	1709858..1710815	pseudogene
tpy:CQ11_08035	CDS	1710848..1711699	hypothetical protein
tpy:CQ11_08040	CDS	complement(1711737..1712480)	restriction endonuclease subunit M
tpy:CQ11_08045	CDS	1712677..1713822	galactokinase
tpy:CQ11_08050	CDS	1713933..1714958	hypothetical protein
tpy:CQ11_08055	CDS	1715039..1715323	hypothetical protein
tpy:CQ11_08060	CDS	complement(1715346..1716446)	ABC transporter ATPase
tpy:CQ11_08065	CDS	complement(1716465..1716983)	hypothetical protein
tpy:CQ11_08070	CDS	1717602..1719092	D-ribose transporter ATP-binding protein
tpy:CQ11_08075	CDS	1719100..1720122	ribose ABC transporter permease
tpy:CQ11_08080	CDS	1720119..1721102	LacI family transcriptional regulator
tpy:CQ11_08085	CDS	complement(1721122..1722096)	fructokinase
tpy:CQ11_08090	CDS	1722166..1723521	6-phospho-beta-glucosidase
tpy:CQ11_08095	CDS	1723803..1724102	hypothetical protein
tpy:CQ11_08100	CDS	1724243..1724512	hypothetical protein
tpy:CQ11_08105	CDS	1725055..1725243	hypothetical protein
tpy:CQ11_08110	CDS	1725557..1725925	antitoxin HicB
tpy:CQ11_08115	gene	1726048..1726368	pseudogene
tpy:CQ11_08120	gene	1726368..1727288	pseudogene
tpy:CQ11_08125	CDS	complement(1727346..1727630)	hypothetical protein
tpy:CQ11_08130	CDS	complement(1727633..1728118)	hypothetical protein
tpy:CQ11_08135	tRNA	complement(1728427..1728515)	tRNA-Ser
tpy:CQ11_08140	CDS	complement(1728616..1729221)	hypothetical protein
tpy:CQ11_08145	CDS	complement(1729218..1730477)	hypothetical protein
tpy:CQ11_08150	tRNA	complement(1730611..1730701)	tRNA-Ser
tpy:CQ11_08155	CDS	complement(1730763..1731626)	HAD family hydrolase
tpy:CQ11_08160	CDS	complement(1731631..1732911)	seryl-tRNA synthetase
tpy:CQ11_08165	CDS	1733035..1734288	diacylglycerol kinase
tpy:CQ11_08170	CDS	1734322..1735269	hydratase
tpy:CQ11_08175	CDS	complement(1735272..1736207)	prephenate dehydratase
tpy:CQ11_08180	CDS	1736206..1738518	hypothetical protein
tpy:CQ11_08185	CDS	complement(1738630..1739400)	glycosyl transferase family 2
tpy:CQ11_08190	CDS	complement(1739497..1740342)	topoisomerase II
tpy:CQ11_08195	CDS	complement(1740503..1741516)	alpha/beta hydrolase
tpy:CQ11_08200	CDS	complement(1741516..1742154)	uracil phosphoribosyltransferase
tpy:CQ11_08205	CDS	1742169..1742651	hypothetical protein
tpy:CQ11_08210	tRNA	1742823..1742911	tRNA-Ser
tpy:CQ11_08215	CDS	1743103..1744449	amino acid:cation symporter
tpy:CQ11_08220	CDS	1744732..1746225	hypothetical protein
tpy:CQ11_08225	CDS	1746228..1748663	metal ABC transporter ATPase
tpy:CQ11_08230	CDS	1748660..1748920	thiamine biosynthesis protein ThiS
tpy:CQ11_08235	CDS	1748941..1749723	molybdopterin biosynthesis protein MoeB
tpy:CQ11_08240	CDS	1750700..1752502	hypothetical protein
tpy:CQ11_08245	CDS	1752796..1753797	fimbrial protein
tpy:CQ11_08250	CDS	1753794..1754513	hypothetical protein
tpy:CQ11_08255	CDS	1754515..1757793	hypothetical protein
tpy:CQ11_08260	CDS	complement(1757952..1758212)	transglycosylase
tpy:CQ11_08265	CDS	complement(1758306..1760201)	ABC transporter ATP-binding protein
tpy:CQ11_08270	CDS	complement(1760198..1760968)	molybdate-binding protein
tpy:CQ11_08275	CDS	1761045..1761536	molybdenum cofactor synthesis protein
tpy:CQ11_08280	CDS	complement(1761554..1762792)	molybdenum cofactor biosynthesis protein
tpy:CQ11_08285	CDS	complement(1762802..1763299)	molybdenum cofactor biosynthesis protein MoaC
tpy:CQ11_08290	CDS	1763387..1763812	molybdopterin biosynthesis protein MoeE
tpy:CQ11_08295	CDS	complement(1764009..1765043)	molybdenum cofactor biosynthesis protein MoeA
tpy:CQ11_08300	CDS	1765257..1765982	hypothetical protein
tpy:CQ11_08305	CDS	complement(1766043..1767275)	alpha-amylase
tpy:CQ11_08310	tRNA	complement(1767530..1767606)	tRNA-Pro
tpy:CQ11_08315	CDS	complement(1767740..1768720)	metallophosphoesterase
tpy:CQ11_08320	CDS	complement(1768747..1771170)	peptidoglycan glycosyltransferase
tpy:CQ11_08325	CDS	1771394..1771732	transcription factor WhiB
tpy:CQ11_08330	CDS	complement(1772040..1772504)	LysR family transcriptional regulator
tpy:CQ11_08340	CDS	complement(1772912..1774171)	hypothetical protein
tpy:CQ11_08345	CDS	complement(1774429..1775106)	Crp/Fnr family transcriptional regulator
tpy:CQ11_08355	gene	complement(1775608..1776852)	pseudogene
tpy:CQ11_08360	CDS	complement(1776842..1777897)	hypothetical protein
tpy:CQ11_08365	CDS	1778060..1779016	pilus assembly protein FlpE
tpy:CQ11_08370	CDS	1779013..1780158	pilus assembly protein CpaF
tpy:CQ11_08375	CDS	1780155..1780817	type II secretion protein F
tpy:CQ11_08380	CDS	1780817..1781407	secretion system protein
tpy:CQ11_08390	CDS	1781817..1782248	hypothetical protein
tpy:CQ11_08395	CDS	1782241..1782675	hypothetical protein
tpy:CQ11_08400	CDS	complement(1782641..1785016)	DEAD/DEAH box helicase
tpy:CQ11_08405	CDS	complement(1785037..1785255)	Cro/Cl family transcriptional regulator
tpy:CQ11_08410	CDS	complement(1785245..1785835)	hypothetical protein
tpy:CQ11_08415	CDS	1785963..1787456	SAM-dependent methyltransferase
tpy:CQ11_08420	CDS	1787534..1790239	DNA topoisomerase I
tpy:CQ11_08425	CDS	1790246..1790938	thymidylate kinase
tpy:CQ11_08430	CDS	1790935..1792134	DNA polymerase III subunit delta'
tpy:CQ11_08435	CDS	1792226..1793767	transporter
tpy:CQ11_08440	tRNA	1793834..1793909	tRNA-Thr
tpy:CQ11_08445	CDS	complement(1794108..1794950)	recombinase
tpy:CQ11_08450	CDS	complement(1795103..1796350)	ATPase AAA
tpy:CQ11_08455	CDS	complement(1796404..1796583)	hypothetical protein
tpy:CQ11_08460	CDS	complement(1797223..1797774)	hypothetical protein
tpy:CQ11_08465	CDS	complement(1797876..1799102)	MFS transporter
tpy:CQ11_08470	CDS	1799195..1799902	TetR family transcriptional regulator
tpy:CQ11_08475	CDS	1800150..1800626	hypothetical protein
tpy:CQ11_08480	CDS	complement(1800862..1801122)	hypothetical protein
tpy:CQ11_08485	CDS	complement(1801615..1802181)	hypothetical protein
tpy:CQ11_08490	tRNA	complement(1802540..1802613)	tRNA-Gly
tpy:CQ11_08495	CDS	1802771..1803364	deoxycytidine triphosphate deaminase
tpy:CQ11_08500	CDS	1803482..1806745	monovalent cation/H+ antiporter subunit A
tpy:CQ11_08505	CDS	1806742..1807248	NADH-ubiquinone oxidoreductase subunit 4L
tpy:CQ11_08510	CDS	1807245..1808855	monovalent cation/H+ antiporter subunit D
tpy:CQ11_08515	CDS	1808848..1809630	sodium:proton antiporter
tpy:CQ11_08520	CDS	1809627..1810055	cation:proton antiporter
tpy:CQ11_08525	CDS	1810052..1810408	cation:proton antiporter
tpy:CQ11_08530	CDS	1810450..1810695	hypothetical protein
tpy:CQ11_08535	CDS	1810986..1811990	ABC transporter substrate-binding protein
tpy:CQ11_08540	CDS	1812015..1813637	iron ABC transporter permease
tpy:CQ11_08545	gene	1813647..1814458	pseudogene
tpy:CQ11_08550	gene	complement(1815240..1816580)	pseudogene
tpy:CQ11_08560	CDS	1816670..1817860	arabinose ABC transporter permease
tpy:CQ11_08565	CDS	1817947..1818378	cupin
tpy:CQ11_08570	CDS	complement(1818585..1818857)	cytotoxin
tpy:CQ11_08575	CDS	complement(1818879..1819148)	AbrB family transcriptional regulator
tpy:CQ11_08580	CDS	1819369..1819929	molybdopterin-guanine dinucleotide biosynthesis protein MobA
tpy:CQ11_08585	CDS	complement(1820113..1821327)	ATPase
tpy:CQ11_08590	CDS	1821798..1822409	base excision DNA repair protein
tpy:CQ11_08595	CDS	complement(1822810..1823331)	hypothetical protein
tpy:CQ11_08600	CDS	complement(1823809..1824240)	hypothetical protein
tpy:CQ11_08605	CDS	complement(1824441..1825379)	glucokinase
tpy:CQ11_08610	CDS	complement(1825428..1826267)	ABC transporter permease
tpy:CQ11_08615	CDS	complement(1826295..1826963)	molecular chaperone TorD
tpy:CQ11_08620	CDS	complement(1826979..1829120)	prolyl oligopeptidase
tpy:CQ11_08625	CDS	complement(1829265..1830278)	dimethyl sulfoxide reductase
tpy:CQ11_08630	CDS	complement(1830280..1830918)	4Fe-4S ferredoxin
tpy:CQ11_08635	CDS	complement(1830922..1833579)	dimethyl sulfoxide reductase
tpy:CQ11_08640	CDS	complement(1833772..1834035)	hypothetical protein
tpy:CQ11_08645	CDS	1834170..1835822	pyridine nucleotide-disulfide oxidoreductase
tpy:CQ11_08650	CDS	1836212..1836880	hypothetical protein
tpy:CQ11_08655	CDS	1837085..1837606	bifunctional pyrimidine regulatory protein PyrR uracil phosphoribosyltransferase
tpy:CQ11_08660	CDS	1837609..1838580	aspartate carbamoyltransferase
tpy:CQ11_08665	CDS	1838573..1839904	dihydroorotase
tpy:CQ11_08670	CDS	1839897..1840610	orotidine 5'-phosphate decarboxylase
tpy:CQ11_08675	CDS	1840627..1841199	orotate phosphoribosyltransferase
tpy:CQ11_08680	CDS	complement(1841407..1842537)	dihydroorotate dehydrogenase
tpy:CQ11_08685	CDS	1842756..1844636	dnaK; molecular chaperone DnaK
tpy:CQ11_08690	CDS	1844699..1845322	molecular chaperone GrpE
tpy:CQ11_08695	CDS	1845361..1846359	molecular chaperone DnaJ
tpy:CQ11_08700	CDS	1846416..1846925	heat-shock protein
tpy:CQ11_08705	CDS	1846925..1847575	NTP pyrophosphohydrolase
tpy:CQ11_08710	CDS	complement(1847632..1850433)	ABC transporter substrate-binding protein
tpy:CQ11_08715	CDS	complement(1850965..1852278)	MFS transporter
tpy:CQ11_08720	CDS	complement(1852363..1853097)	glycerophosphodiester phosphodiesterase
tpy:CQ11_08730	CDS	complement(1853358..1855421)	peptidase S9
tpy:CQ11_08735	CDS	1855659..1860449	nuclease
tpy:CQ11_08740	CDS	1860579..1861487	glutamyl-Q tRNA(Asp) ligase
tpy:CQ11_08745	CDS	complement(1861558..1861770)	hypothetical protein
tpy:CQ11_08750	CDS	1862056..1864683	ATPase AAA
tpy:CQ11_08755	CDS	complement(1864766..1865257)	hypothetical protein
tpy:CQ11_08760	CDS	1865426..1866229	penicillin-binding protein
tpy:CQ11_08765	CDS	complement(1866267..1867082)	exonuclease
tpy:CQ11_08770	CDS	1867137..1867928	short-chain dehydrogenase
tpy:CQ11_08775	CDS	1867938..1868378	orotate phosphoribosyltransferase
tpy:CQ11_08780	CDS	1868375..1869487	rRNA methyltransferase
tpy:CQ11_08785	CDS	1869690..1870601	hypothetical protein
tpy:CQ11_08790	CDS	complement(1870691..1872325)	phosphate permease
tpy:CQ11_08795	CDS	1872503..1873525	fructose-bisphosphate aldolase
tpy:CQ11_08800	CDS	complement(1873620..1874081)	peptidase S9
tpy:CQ11_08805	CDS	1874363..1875649	adenylosuccinate synthetase
tpy:CQ11_08810	CDS	1875874..1877742	phosphoenolpyruvate carboxykinase
tpy:CQ11_08815	CDS	1877945..1878826	phosphoribosylaminoimidazole-succinocarboxamide synthase
tpy:CQ11_08820	CDS	1878984..1880321	glutamate dehydrogenase
tpy:CQ11_08825	CDS	1880354..1880713	hypothetical protein
tpy:CQ11_08830	CDS	complement(1880816..1881043)	hypothetical protein
tpy:CQ11_08835	CDS	1881344..1881556	excisionase
tpy:CQ11_08840	CDS	complement(1881618..1881947)	hypothetical protein
tpy:CQ11_08845	CDS	complement(1881944..1882390)	membrane protein
tpy:CQ11_08850	CDS	1882577..1884622	choline transporter
tpy:CQ11_08855	CDS	complement(1884648..1885556)	hypothetical protein
tpy:CQ11_08860	CDS	1885881..1889336	collagen adhesin
tpy:CQ11_08865	CDS	1889561..1892149	hypothetical protein
tpy:CQ11_08870	CDS	1892212..1893348	hypothetical protein
tpy:CQ11_08875	CDS	1893314..1893604	hypothetical protein
tpy:CQ11_08880	CDS	1893690..1894583	fimbrial protein
tpy:CQ11_08885	CDS	complement(1894677..1895621)	lactate dehydrogenase
tpy:CQ11_08890	CDS	complement(1895685..1897478)	membrane protein
tpy:CQ11_08895	tRNA	complement(1897623..1897695)	tRNA-Phe
tpy:CQ11_08900	tRNA	complement(1897733..1897806)	tRNA-Asp
tpy:CQ11_08905	tRNA	complement(1897842..1897914)	tRNA-Glu
tpy:CQ11_08910	CDS	1898203..1899729	mechanosensitive ion channel protein MscS
tpy:CQ11_08915	CDS	1899726..1900130	peptide methionine sulfoxide reductase
tpy:CQ11_08920	CDS	1900132..1900926	hypothetical protein
tpy:CQ11_08925	CDS	1900919..1901869	membrane protein
tpy:CQ11_08930	tRNA	1901997..1902073	tRNA-Lys
tpy:CQ11_08935	CDS	1902688..1903302	hypothetical protein
tpy:CQ11_08940	CDS	1903390..1905825	polyphosphate kinase
tpy:CQ11_08945	CDS	1905841..1906794	NTP pyrophosphohydrolase
tpy:CQ11_08950	CDS	1906881..1907999	phosphate ABC transporter substrate-binding protein
tpy:CQ11_08955	CDS	1908052..1909095	phosphate ABC transporter permease
tpy:CQ11_08960	CDS	1909106..1909987	phosphate ABC transporter permease
tpy:CQ11_08965	CDS	1910017..1910793	pstB; phosphate ABC transporter ATP-binding protein
tpy:CQ11_08970	CDS	complement(1910887..1911891)	inorganic phosphate transporter
tpy:CQ11_08975	CDS	complement(1911895..1912560)	hypothetical protein
tpy:CQ11_08980	CDS	1912718..1914247	sodium:alanine symporter
tpy:CQ11_08985	CDS	1915403..1915972	hypothetical protein
tpy:CQ11_08990	CDS	1916104..1918386	metallophosphatase
tpy:CQ11_08995	CDS	1918830..1919660	hypothetical protein
tpy:CQ11_09000	CDS	1919670..1920281	hypothetical protein
tpy:CQ11_09005	CDS	1920297..1921376	hypothetical protein
tpy:CQ11_09010	CDS	1921385..1921714	hypothetical protein
tpy:CQ11_09015	CDS	1921714..1922157	tyrosyl-tRNA deacylase
tpy:CQ11_09020	CDS	1922274..1924880	NDP-hexose 4-ketoreductase
tpy:CQ11_09030	CDS	1925146..1925541	hypothetical protein
tpy:CQ11_09035	CDS	1925545..1925829	hypothetical protein
tpy:CQ11_09040	CDS	complement(1925850..1926866)	deoxyribose mutarotase
tpy:CQ11_09045	CDS	complement(1926898..1928208)	sugar:proton symporter
tpy:CQ11_09050	CDS	complement(1928505..1929437)	deoxyribonucleoside regulator
tpy:CQ11_09055	CDS	1929843..1930865	membrane protein
tpy:CQ11_09060	CDS	1930935..1931792	HAD family hydrolase
tpy:CQ11_09065	CDS	1931894..1933480	xylulose kinase
tpy:CQ11_09070	CDS	1933524..1934324	hypothetical protein
tpy:CQ11_09075	CDS	1934308..1935675	3-dehydroquinate synthase
tpy:CQ11_09080	CDS	1935707..1937368	ribulokinase
tpy:CQ11_09085	CDS	1937376..1938086	ribulose 5-phosphate epimerase
tpy:CQ11_09090	CDS	1938086..1939579	xylulose kinase
tpy:CQ11_09095	CDS	1939691..1941397	dihydroxyacetone kinase
tpy:CQ11_09100	CDS	1941461..1942504	zinc-binding dehydrogenase
tpy:CQ11_09105	CDS	complement(1942674..1943111)	sugar phosphate isomerase
tpy:CQ11_09110	CDS	complement(1943239..1943991)	permease
tpy:CQ11_09115	CDS	complement(1943988..1945256)	sulfatase maturase
tpy:CQ11_09120	CDS	1945398..1946765	MFS transporter
tpy:CQ11_09125	CDS	complement(1946796..1947674)	hypothetical protein
tpy:CQ11_09130	CDS	1947866..1949287	phosphodiesterase
tpy:CQ11_09135	CDS	complement(1949293..1949514)	hypothetical protein
tpy:CQ11_09140	CDS	complement(1949511..1949735)	antitoxin
tpy:CQ11_09145	CDS	complement(1950238..1951080)	sugar ABC transporter permease
tpy:CQ11_09150	CDS	complement(1951122..1952072)	ABC transporter permease
tpy:CQ11_09155	CDS	complement(1952078..1953325)	sugar ABC transporter substrate-binding protein
tpy:CQ11_09160	CDS	complement(1953366..1955633)	alpha-glucosidase
tpy:CQ11_09165	CDS	complement(1957124..1957969)	transcriptional regulator
tpy:CQ11_09170	CDS	1958114..1959394	sugar ABC transporter substrate-binding protein
tpy:CQ11_09175	CDS	1959464..1960360	sugar ABC transporter permease
tpy:CQ11_09180	CDS	1960360..1961205	sugar ABC transporter permease
tpy:CQ11_09185	CDS	1961260..1962120	hypothetical protein
tpy:CQ11_09190	CDS	1962122..1963318	hypothetical protein
tpy:CQ11_09195	CDS	1963315..1964523	sugar isomerase
tpy:CQ11_09200	CDS	complement(1964647..1964835)	hypothetical protein
tpy:CQ11_09205	CDS	1966001..1967173	xylose isomerase
tpy:CQ11_09210	CDS	1967196..1968596	xylulose kinase
tpy:CQ11_09215	CDS	1968639..1969754	ABC transporter substrate-binding protein
tpy:CQ11_09220	gene	1969787..1971319	pseudogene
tpy:CQ11_09225	CDS	1971326..1972480	sugar ABC transporter permease
tpy:CQ11_09230	CDS	1972644..1973825	cystathionine beta-lyase
tpy:CQ11_09235	CDS	1973827..1975344	sodium:proton antiporter
tpy:CQ11_09240	CDS	1975419..1976330	hypothetical protein
tpy:CQ11_09245	CDS	1976431..1978260	glycoside hydrolase
tpy:CQ11_09250	CDS	1978260..1979336	sugar ABC transporter permease
tpy:CQ11_09255	CDS	1979381..1980232	permease
tpy:CQ11_09260	CDS	1980252..1981637	ABC transporter substrate-binding protein
tpy:CQ11_09265	CDS	1981730..1982740	LacI family transcriptional regulator
tpy:CQ11_09270	CDS	complement(1982786..1984444)	hypothetical protein
tpy:CQ11_09275	CDS	complement(1984458..1985369)	sugar ABC transporter permease
tpy:CQ11_09280	CDS	complement(1985359..1986312)	sugar ABC transporter permease
tpy:CQ11_09285	CDS	complement(1986319..1987623)	sugar ABC transporter substrate-binding protein
tpy:CQ11_09290	CDS	complement(1987685..1988557)	permease
tpy:CQ11_09295	CDS	1988968..1991961	glycosyl hydrolase family 2
tpy:CQ11_09300	CDS	1992112..1992429	beta-D-galactosidase
tpy:CQ11_09305	CDS	complement(1992445..1993428)	hypothetical protein
tpy:CQ11_09315	CDS	complement(1993852..1995231)	permease
tpy:CQ11_09320	CDS	complement(1995512..1996243)	transcriptional regulator
tpy:CQ11_09325	CDS	1996927..1998336	6-phosphogluconate dehydrogenase
tpy:CQ11_09330	CDS	1998632..1999567	ATPase AAA
tpy:CQ11_09335	CDS	1999930..2002509	hypothetical protein
tpy:CQ11_09340	CDS	2002506..2006861	beta-galactosidase
tpy:CQ11_09345	CDS	complement(2007028..2007405)	ribose pyranase
tpy:CQ11_09350	CDS	complement(2007415..2008356)	ribokinase
tpy:CQ11_09355	CDS	complement(2008353..2009288)	ABC transporter substrate-binding protein
tpy:CQ11_09360	CDS	complement(2009349..2010299)	sugar ABC transporter permease
tpy:CQ11_09365	CDS	complement(2010299..2011834)	sugar ABC transporter ATPase
tpy:CQ11_09370	CDS	complement(2011827..2012855)	hypothetical protein
tpy:CQ11_09375	CDS	2013132..2014031	methyltransferase
tpy:CQ11_09380	CDS	2014012..2014719	nitrate ABC transporter ATP-binding protein
tpy:CQ11_09385	gene	2014735..2016231	pseudogene
tpy:CQ11_09395	CDS	complement(2016911..2018722)	hypothetical protein
tpy:CQ11_09400	CDS	complement(2019043..2019708)	hypothetical protein
tpy:CQ11_09405	CDS	complement(2019701..2020795)	LacI family transcriptional regulator
tpy:CQ11_09410	CDS	complement(2020872..2022248)	MFS transporter
tpy:CQ11_09415	CDS	2022415..2023110	membrane protein
tpy:CQ11_09425	CDS	complement(2023578..2024405)	hypothetical protein
tpy:CQ11_09430	CDS	complement(2024417..2025652)	hypothetical protein
tpy:CQ11_09435	CDS	2025756..2027135	GntR family transcriptional regulator
tpy:CQ11_09440	CDS	complement(2027711..2028001)	transposase
tpy:CQ11_09445	CDS	complement(2028496..2029527)	hypothetical protein
tpy:CQ11_09450	CDS	complement(2029565..2030350)	hypothetical protein
tpy:CQ11_09455	CDS	complement(2030340..2032073)	ABC transporter ATP-binding protein
tpy:CQ11_09465	CDS	complement(2032841..2033443)	alpha-ribazole transporter
tpy:CQ11_09470	CDS	complement(2035116..2035349)	hypothetical protein
tpy:CQ11_09475	CDS	complement(2035686..2036804)	hypothetical protein
tpy:CQ11_09480	CDS	complement(2036801..2037853)	hypothetical protein
tpy:CQ11_09485	CDS	complement(2037862..2038620)	ABC transporter ATP-binding protein
tpy:CQ11_09490	CDS	2038833..2039420	hypothetical protein
tpy:CQ11_09495	CDS	2039407..2040093	nitroreductase
tpy:CQ11_09505	CDS	complement(2040739..2041755)	hypothetical protein
tpy:CQ11_09510	CDS	2041895..2042341	hypothetical protein
tpy:CQ11_09515	CDS	2042414..2043136	transcriptional regulator
tpy:CQ11_09520	CDS	complement(2043207..2045273)	hypothetical protein
tpy:CQ11_09535	CDS	complement(2046243..2046575)	nucleotide pyrophosphohydrolase
tpy:CQ11_09540	CDS	2046784..2048778	ATP-dependent exonuclease
tpy:CQ11_09545	CDS	2049014..2050288	ATPase AAA
tpy:CQ11_09550	gene	complement(2050830..2051102)	pseudogene
tpy:CQ11_09555	CDS	2051992..2054847	CRISPR-associated protein
tpy:CQ11_09560	CDS	2055135..2056832	CRISPR-associated protein Cse1
tpy:CQ11_09565	CDS	2056859..2057488	CRISPR-associated protein Cse2
tpy:CQ11_09570	CDS	2057512..2058654	CRISPR-associated protein
tpy:CQ11_09575	CDS	2058658..2059362	CRISPR-associated protein
tpy:CQ11_09580	CDS	2059362..2060030	CRISPR-associated protein
tpy:CQ11_09585	CDS	2060033..2060965	CRISPR-associated protein Cse1
tpy:CQ11_09595	CDS	complement(2064450..2065238)	abortive phage resistance protein
tpy:CQ11_09600	CDS	complement(2065492..2066106)	transcriptional regulator
tpy:CQ11_09605	CDS	complement(2066371..2068068)	alpha-amylase
tpy:CQ11_09610	CDS	complement(2068120..2068995)	ABC transporter permease
tpy:CQ11_09615	CDS	complement(2069004..2069900)	sugar ABC transporter permease
tpy:CQ11_09620	CDS	complement(2069903..2071177)	carbohydrate-binding protein
tpy:CQ11_09625	CDS	2071331..2072563	ROK family protein
tpy:CQ11_09630	CDS	2073667..2076399	pyruvate phosphate dikinase
tpy:CQ11_09635	CDS	2076652..2079546	oxidoreductase
tpy:CQ11_09640	CDS	2079627..2080994	hypothetical protein
tpy:CQ11_09645	CDS	complement(2081039..2082043)	alpha/beta hydrolase
tpy:CQ11_09650	CDS	complement(2082076..2083338)	homoserine acetyltransferase
tpy:CQ11_09655	CDS	2083651..2085258	TolA protein
tpy:CQ11_09660	CDS	complement(2085328..2085855)	inorganic pyrophosphatase
tpy:CQ11_09665	CDS	2085963..2087342	D-alanyl-D-alanine carboxypeptidase
tpy:CQ11_09670	CDS	2087475..2088302	hypothetical protein
tpy:CQ11_09675	CDS	2088302..2089345	tRNA(Ile)-lysidine synthetase
tpy:CQ11_09680	CDS	2089342..2089899	hypoxanthine phosphoribosyltransferase
tpy:CQ11_09685	CDS	2089900..2092038	cell division protein FtsH
tpy:CQ11_09690	CDS	2092035..2092598	GTP cyclohydrolase I FolE
tpy:CQ11_09695	CDS	2092617..2093396	dihydropteroate synthase
tpy:CQ11_09700	CDS	2093393..2094235	2-amino-4-hydroxy-6-hydroxymethyldihydropteridine pyrophosphokinase
tpy:CQ11_09705	CDS	2094249..2094725	hypothetical protein
tpy:CQ11_09710	CDS	2094799..2095296	membrane protein
tpy:CQ11_09715	CDS	2095293..2096873	hypothetical protein
tpy:CQ11_09720	CDS	complement(2097016..2097999)	LacI family transcriptional regulator
tpy:CQ11_09725	CDS	2098302..2099621	ABC transporter substrate-binding protein
tpy:CQ11_09730	CDS	2099683..2100603	lactose ABC transporter permease
tpy:CQ11_09735	CDS	2100596..2101405	lactose ABC transporter permease
tpy:CQ11_09740	CDS	2101402..2104419	beta-galactosidase
tpy:CQ11_09745	CDS	complement(2104508..2105716)	MFS transporter
tpy:CQ11_09750	CDS	complement(2105778..2108129)	phosphoenolpyruvate-protein phosphotransferase
tpy:CQ11_09755	CDS	complement(2108122..2108748)	dihydroxyacetone kinase
tpy:CQ11_09760	CDS	complement(2108736..2109734)	dihydroxyacetone kinase
tpy:CQ11_09765	CDS	2109878..2110762	NADH-ubiquinone oxidoreductase
tpy:CQ11_09770	CDS	2110788..2111627	pantoate--beta-alanine ligase
tpy:CQ11_09775	CDS	2111624..2112055	aspartate decarboxylase
tpy:CQ11_09780	CDS	2112063..2113064	hypothetical protein
tpy:CQ11_09785	CDS	2113107..2114666	lysyl-tRNA synthetase
tpy:CQ11_09790	CDS	2114743..2117022	membrane protein
tpy:CQ11_09795	CDS	complement(2117101..2118627)	glpK; glycerol kinase
tpy:CQ11_09800	CDS	complement(2118811..2119557)	glycerol transporter
tpy:CQ11_09805	CDS	complement(2119734..2120390)	ATP-binding protein
tpy:CQ11_09810	CDS	complement(2120449..2121285)	gluconolactonase
tpy:CQ11_09815	CDS	complement(2121412..2122656)	glycerol-3-phosphate dehydrogenase
tpy:CQ11_09820	CDS	complement(2122659..2123924)	glycerol-3-phosphate dehydrogenase
tpy:CQ11_09825	CDS	complement(2123924..2125579)	glycerol-3-phosphate dehydrogenase
tpy:CQ11_09830	CDS	2125756..2126739	transcriptional regulator
tpy:CQ11_09835	CDS	complement(2126765..2127130)	hypothetical protein
tpy:CQ11_09840	CDS	complement(2127127..2128014)	adenine glycosylase
tpy:CQ11_09845	CDS	2128062..2128886	hypothetical protein
tpy:CQ11_09850	CDS	complement(2128916..2130286)	DNA repair protein RadA
tpy:CQ11_09855	CDS	complement(2130296..2130970)	potassium transporter
tpy:CQ11_09860	CDS	complement(2130994..2132376)	potassium transporter Trk
tpy:CQ11_09865	CDS	2132584..2132793	DNA-binding protein
tpy:CQ11_09875	CDS	2134044..2134505	MarR family transcriptional regulator
