pkt:AT984_00010	rRNA	627..739	5S ribosomal RNA
pkt:AT984_02065	CDS	456766..457350	hypothetical protein
pkt:AT984_02070	CDS	457347..458453	glycosyl transferase family 1
pkt:AT984_02075	CDS	458450..459676	glycosyltransferase WbuB
pkt:AT984_02080	CDS	459700..460383	methyltransferase type 11
pkt:AT984_02085	CDS	460380..461561	UDP-4-amino-4,6-dideoxy-N-acetyl-beta-L-altrosamine transaminase
pkt:AT984_02090	CDS	461606..462196	sugar transferase
pkt:AT984_02095	CDS	462254..464128	polysaccharide biosynthesis protein
pkt:AT984_02100	CDS	464254..465312	dTDP-glucose 4,6-dehydratase
pkt:AT984_02105	CDS	465324..466211	dTDP-4-dehydrorhamnose reductase
pkt:AT984_02110	CDS	466309..467199	glucose-1-phosphate thymidylyltransferase
pkt:AT984_02115	CDS	467208..467759	dTDP-4-dehydrorhamnose 3,5-epimerase
pkt:AT984_02120	CDS	complement(467895..469115)	UDP-N-acetyl-D-mannosaminuronic acid dehydrogenase
pkt:AT984_02125	CDS	complement(469119..470264)	UDP-N-acetyl glucosamine 2-epimerase
pkt:AT984_02130	CDS	complement(470261..471490)	glycosyltransferase WbuB
pkt:AT984_02135	CDS	complement(471492..473159)	hypothetical protein
pkt:AT984_02140	CDS	complement(473141..475273)	dehydrogenase
pkt:AT984_02145	CDS	complement(475270..476052)	imidazole glycerol phosphate synthase cyclase subunit
pkt:AT984_02150	CDS	complement(476055..476669)	imidazole glycerol phosphate synthase subunit HisH
pkt:AT984_02155	CDS	complement(476666..477763)	LPS biosynthesis protein
pkt:AT984_02160	CDS	complement(477850..478620)	hypothetical protein
pkt:AT984_02165	CDS	complement(478738..479490)	hypothetical protein
pkt:AT984_02170	CDS	complement(479655..480854)	hypothetical protein
pkt:AT984_02175	CDS	complement(480916..482115)	hypothetical protein
pkt:AT984_02180	CDS	complement(482112..483071)	hypothetical protein
pkt:AT984_02185	CDS	complement(483093..483665)	hypothetical protein
pkt:AT984_02190	CDS	complement(483818..485131)	hypothetical protein
pkt:AT984_02195	CDS	485479..485814	hypothetical protein
pkt:AT984_02200	CDS	complement(486062..486910)	hypothetical protein
pkt:AT984_02205	CDS	complement(486913..487449)	dTDP-4-dehydrorhamnose 3,5-epimerase
pkt:AT984_02210	CDS	complement(487460..488812)	lipopolysaccharide biosynthesis protein RfbH
pkt:AT984_02215	CDS	complement(488809..489873)	CDP-glucose 4,6-dehydratase
pkt:AT984_02220	CDS	complement(489880..490653)	glucose-1-phosphate cytidylyltransferase
pkt:AT984_02225	CDS	491208..491417	hypothetical protein
pkt:AT984_02230	CDS	complement(491702..492823)	GDP-mannose 4,6 dehydratase
pkt:AT984_02235	CDS	complement(492861..493784)	GDP-fucose synthetase
pkt:AT984_02240	CDS	complement(493787..494116)	MarR family EPS-associated transcriptional regulator
pkt:AT984_02245	CDS	complement(494244..495428)	lipopolysaccharide biosynthesis protein
pkt:AT984_02250	CDS	complement(495466..497337)	sugar ABC transporter substrate-binding protein
pkt:AT984_02255	CDS	497578..498726	glycosyl transferase
pkt:AT984_02260	CDS	498754..500235	ATP-dependent RNA helicase
pkt:AT984_02265	CDS	complement(500305..501072)	ribosomal RNA small subunit methyltransferase I
pkt:AT984_02270	CDS	complement(501069..501707)	septum formation inhibitor Maf
pkt:AT984_02275	CDS	501776..502333	hypothetical protein
pkt:AT984_02280	CDS	502650..502832	rpmF; 50S ribosomal protein L32
pkt:AT984_02285	CDS	503087..504166	phosphate acyltransferase
pkt:AT984_02290	CDS	504163..505185	3-oxoacyl-ACP synthase
pkt:AT984_02295	CDS	505295..506236	ACP S-malonyltransferase
pkt:AT984_02300	CDS	506254..507018	fabG; beta-ketoacyl-ACP reductase
pkt:AT984_02305	CDS	507167..507406	acyl carrier protein
pkt:AT984_02310	CDS	507450..508694	beta-ketoacyl-[acyl-carrier-protein] synthase II
pkt:AT984_02315	CDS	508815..509225	hypothetical protein
pkt:AT984_02320	CDS	509468..510910	serine peptidase
pkt:AT984_02325	CDS	511557..513365	elongation factor 4
pkt:AT984_02330	CDS	513395..514360	S26 family signal peptidase
pkt:AT984_02335	CDS	514407..514793	hypothetical protein
pkt:AT984_02340	CDS	514871..515578	ribonuclease III
pkt:AT984_02345	CDS	515604..516533	GTPase Era
pkt:AT984_02350	CDS	516568..517347	DNA repair protein RecO
pkt:AT984_02355	CDS	517373..518170	pyridoxine 5'-phosphate synthase
pkt:AT984_02360	CDS	518183..518737	hypothetical protein
pkt:AT984_02365	CDS	518734..519129	ACP synthase
pkt:AT984_02370	CDS	519141..520208	beta-hexosaminidase
pkt:AT984_02375	CDS	complement(520306..521871)	MFS transporter
pkt:AT984_02380	CDS	complement(522027..525128)	ribonuclease E
pkt:AT984_02385	CDS	526108..527085	ribosomal large subunit pseudouridine synthase C
pkt:AT984_02390	CDS	527066..527725	HAD family hydrolase
pkt:AT984_02395	CDS	527833..528219	2Fe-2S ferredoxin
pkt:AT984_02400	CDS	528246..529256	peptidase S49
pkt:AT984_02405	CDS	529622..531418	ATPase
pkt:AT984_02410	CDS	531428..533539	potassium-transporting ATPase subunit B
pkt:AT984_02415	CDS	533553..534185	hypothetical protein
pkt:AT984_02420	CDS	534372..535214	hypothetical protein
pkt:AT984_02425	CDS	535274..536248	magnesium transporter
pkt:AT984_02430	CDS	536265..539021	sensor protein KdpD
pkt:AT984_02435	CDS	539014..539727	two-component system response regulator
pkt:AT984_02440	CDS	complement(539771..540520)	hypothetical protein
pkt:AT984_02445	CDS	complement(540782..541513)	glutamine amidotransferase
pkt:AT984_02450	CDS	541742..542971	argJ; ornithine acetyltransferase
pkt:AT984_02455	CDS	complement(543046..544662)	hypothetical protein
pkt:AT984_02460	CDS	545012..546067	hypothetical protein
pkt:AT984_02465	CDS	546270..546950	histidine phosphatase family protein
pkt:AT984_02470	CDS	547171..548604	N-acetylglucosamine-binding protein A
pkt:AT984_02475	CDS	548775..549002	hypothetical protein
pkt:AT984_02480	CDS	complement(549050..550072)	alcohol dehydrogenase
pkt:AT984_02485	CDS	complement(550214..552628)	hypothetical protein
pkt:AT984_02490	CDS	complement(552916..554460)	hypothetical protein
pkt:AT984_02495	CDS	554849..555760	hypothetical protein
pkt:AT984_02500	CDS	556136..556981	hypothetical protein
pkt:AT984_02505	CDS	557082..558584	hypothetical protein
pkt:AT984_02510	CDS	558732..559805	hypothetical protein
pkt:AT984_02515	CDS	560068..561744	hypothetical protein
pkt:AT984_02520	CDS	561837..573701	hypothetical protein
pkt:AT984_02525	CDS	573748..575439	flagellar motor protein MotA
pkt:AT984_02530	CDS	575458..575871	biopolymer transporter ExbD
pkt:AT984_02535	CDS	575881..576282	transporter
pkt:AT984_02540	CDS	576305..577006	hypothetical protein
pkt:AT984_02545	CDS	577100..578917	hypothetical protein
pkt:AT984_02550	CDS	578935..579603	hypothetical protein
pkt:AT984_02555	CDS	579704..581383	gamma-glutamyltransferase
pkt:AT984_02560	gene	581662..582957	pseudogene
pkt:AT984_02565	CDS	583088..583669	hypothetical protein
pkt:AT984_02570	CDS	complement(583688..584428)	ugpQ; glycerophosphoryl diester phosphodiesterase
pkt:AT984_02575	CDS	complement(584425..585507)	ugpC; glycerol-3-phosphate transporter ATP-binding subunit
pkt:AT984_02580	CDS	complement(585757..586608)	glycerol-3-phosphate transporter
pkt:AT984_02585	CDS	complement(586610..587497)	glycerol-3-phosphate transporter permease
pkt:AT984_02590	CDS	complement(587509..588819)	glycerol-3-phosphate ABC transporter substrate-binding protein
pkt:AT984_02595	CDS	589216..593151	FAD-linked oxidase
pkt:AT984_02600	CDS	complement(593264..594238)	ABC transporter substrate-binding protein
pkt:AT984_02605	CDS	594354..594797	HIT domain-containing protein
pkt:AT984_02610	CDS	complement(594832..595887)	ornithine cyclodeaminase
pkt:AT984_02615	CDS	596055..596480	AsnC family transcriptional regulator
pkt:AT984_02620	CDS	complement(596517..597137)	hypothetical protein
pkt:AT984_02625	CDS	complement(597134..598141)	hypothetical protein
pkt:AT984_02630	CDS	complement(598138..598908)	polyamine ABC transporter ATP-binding protein
pkt:AT984_02635	CDS	complement(598943..600082)	hypothetical protein
pkt:AT984_02640	CDS	600212..601081	cysteine hydrolase
pkt:AT984_02645	CDS	601156..602307	nicotinate phosphoribosyltransferase
pkt:AT984_02650	CDS	602414..603688	metal-dependent phosphohydrolase
pkt:AT984_02655	CDS	603685..606459	hypothetical protein
pkt:AT984_02660	CDS	complement(606522..608939)	hypothetical protein
pkt:AT984_02665	CDS	609023..610255	hypothetical protein
pkt:AT984_02670	CDS	complement(610325..612028)	hypothetical protein
pkt:AT984_02675	CDS	complement(612075..613601)	hypothetical protein
pkt:AT984_02680	CDS	complement(613628..614674)	hypothetical protein
pkt:AT984_02685	CDS	615022..615990	esterase
pkt:AT984_02690	CDS	616050..616703	peptidase S16
pkt:AT984_02695	CDS	complement(616732..617700)	hypothetical protein
pkt:AT984_02700	CDS	complement(618014..618586)	Phasin (PHA-granule associated protein)
pkt:AT984_02705	gene	complement(618946..619383)	pseudogene
pkt:AT984_02710	CDS	619782..620024	transposase
pkt:AT984_02715	CDS	620021..620908	integrase
pkt:AT984_02720	CDS	621173..625138	hypothetical protein
pkt:AT984_02725	CDS	complement(625290..626072)	hypothetical protein
pkt:AT984_02730	CDS	626056..626253	hypothetical protein
pkt:AT984_02735	CDS	626795..628747	peptidase S9
pkt:AT984_02740	gene	628938..629873	pseudogene
pkt:AT984_02745	CDS	629972..630442	hypothetical protein
pkt:AT984_02750	CDS	630475..631170	nitrobenzoate reductase
pkt:AT984_02755	CDS	631184..632164	D-glycerate dehydrogenase
pkt:AT984_02760	gene	632810..633928	pseudogene
pkt:AT984_02765	CDS	633925..635166	hypothetical protein
pkt:AT984_02770	CDS	complement(635251..635928)	hypothetical protein
pkt:AT984_02775	CDS	636281..637618	metal-dependent phosphohydrolase
pkt:AT984_02780	CDS	complement(637655..638104)	hypothetical protein
pkt:AT984_02785	CDS	complement(638237..638881)	hypothetical protein
pkt:AT984_02790	CDS	complement(638990..639499)	hypothetical protein
pkt:AT984_02795	CDS	complement(639566..639949)	hypothetical protein
pkt:AT984_02800	CDS	complement(640143..640502)	hypothetical protein
pkt:AT984_02805	CDS	complement(640678..640905)	hypothetical protein
pkt:AT984_02810	CDS	complement(641240..641632)	DUF4440 domain-containing protein
pkt:AT984_02815	CDS	complement(641653..642339)	protein-disulfide isomerase
pkt:AT984_02820	CDS	complement(642413..643285)	MBL fold metallo-hydrolase
pkt:AT984_02825	CDS	643897..645447	transposase
pkt:AT984_02830	CDS	645471..646208	AAA family ATPase
pkt:AT984_02835	CDS	complement(646440..647282)	hypothetical protein
pkt:AT984_02840	CDS	complement(647413..649146)	ATPase
pkt:AT984_02845	CDS	complement(649156..650169)	hypothetical protein
pkt:AT984_02850	CDS	complement(650650..651498)	kinase
pkt:AT984_02855	CDS	651678..652913	amino acid ABC transporter substrate-binding protein
pkt:AT984_02860	CDS	653122..653997	ABC transporter permease
pkt:AT984_02865	CDS	654005..655933	ABC transporter
pkt:AT984_02870	CDS	655951..656673	ABC transporter ATP-binding protein
pkt:AT984_02875	CDS	complement(656680..657525)	fatty acid hydroxylase
pkt:AT984_02880	CDS	complement(657626..659521)	hypothetical protein
pkt:AT984_02885	CDS	complement(659556..660332)	hypothetical protein
pkt:AT984_02890	CDS	complement(660457..663489)	hypothetical protein
pkt:AT984_02895	CDS	663898..664626	two-component system response regulator
pkt:AT984_02900	CDS	664616..665932	hypothetical protein
pkt:AT984_02905	CDS	complement(665970..667991)	oligopeptidase A
pkt:AT984_02910	CDS	complement(668070..668933)	bifunctional 5,10-methylene-tetrahydrofolate dehydrogenase/5,10-methylene-tetrahydrofolate cyclohydrolase
pkt:AT984_02915	CDS	complement(669033..669656)	LuxR family transcriptional regulator
pkt:AT984_02920	CDS	complement(669653..672196)	PAS domain-containing sensor histidine kinase
pkt:AT984_02925	CDS	672518..675235	aceE; pyruvate dehydrogenase
pkt:AT984_02930	CDS	675392..677089	dihydrolipoamide acetyltransferase
pkt:AT984_02935	CDS	677104..678945	dihydrolipoamide dehydrogenase
pkt:AT984_02940	CDS	679165..680052	cytochrome C
pkt:AT984_02945	CDS	680530..682137	peptidase
pkt:AT984_02950	CDS	682570..683613	hypothetical protein
pkt:AT984_02955	CDS	683635..684360	hypothetical protein
pkt:AT984_02960	CDS	684357..686885	apolipoprotein N-acyltransferase
pkt:AT984_02965	CDS	687114..687455	hypothetical protein
pkt:AT984_02970	CDS	687452..688144	hypothetical protein
pkt:AT984_02975	CDS	complement(688153..689637)	MFS transporter
pkt:AT984_02980	CDS	complement(689753..690388)	hypothetical protein
pkt:AT984_02985	CDS	complement(690444..691127)	methyltransferase
pkt:AT984_02990	CDS	complement(691354..691995)	hypothetical protein
pkt:AT984_02995	CDS	692205..693530	hypothetical protein
pkt:AT984_03000	CDS	complement(693573..694436)	histidine kinase
pkt:AT984_03005	CDS	694642..695259	hypothetical protein
pkt:AT984_03010	CDS	695322..697241	hypothetical protein
pkt:AT984_03015	CDS	complement(697243..697803)	ADP-ribose pyrophosphatase
pkt:AT984_03020	CDS	697960..698592	maleylacetoacetate isomerase
pkt:AT984_03025	CDS	698582..699364	hypothetical protein
pkt:AT984_03030	CDS	complement(699296..699604)	hypothetical protein
pkt:AT984_03035	CDS	699927..701573	hypothetical protein
pkt:AT984_03040	CDS	701601..702782	acetyl-CoA acetyltransferase
pkt:AT984_03045	CDS	702966..703703	beta-ketoacyl-ACP reductase
pkt:AT984_03050	CDS	703922..706792	hypothetical protein
pkt:AT984_03055	CDS	complement(706782..707537)	IclR family transcriptional regulator
pkt:AT984_03060	CDS	707721..708533	hypothetical protein
pkt:AT984_03065	CDS	708648..709664	hypothetical protein
pkt:AT984_03070	gene	709724..710452	pseudogene
pkt:AT984_03075	CDS	710521..711486	fatty acid hydroxylase
pkt:AT984_03080	CDS	711512..712405	hypothetical protein
pkt:AT984_03085	CDS	712402..713199	damage-inducible protein
pkt:AT984_03090	CDS	713427..714842	glnA; glutamine synthetase
pkt:AT984_03095	CDS	714949..715467	hypothetical protein
pkt:AT984_03100	CDS	715496..716575	PAS domain-containing sensor histidine kinase
pkt:AT984_03105	CDS	716617..718137	nitrogen regulation protein NR(I)
pkt:AT984_03110	CDS	718183..718497	hypothetical protein
pkt:AT984_03115	CDS	718494..720155	hypothetical protein
pkt:AT984_03120	CDS	720214..721500	pyrimidine utilization transport protein G
pkt:AT984_03125	CDS	complement(721467..722456)	MBL fold metallo-hydrolase
pkt:AT984_03130	CDS	722510..723046	peptide deformylase
pkt:AT984_03135	CDS	723176..725110	hypothetical protein
pkt:AT984_03140	CDS	complement(725153..725830)	arylesterase
pkt:AT984_03145	CDS	725930..726613	ABC transporter
pkt:AT984_03150	CDS	complement(726642..727229)	hypothetical protein
pkt:AT984_03155	CDS	complement(727354..728160)	peptidylprolyl isomerase
pkt:AT984_03160	CDS	complement(728250..728537)	BolA family transcriptional regulator
pkt:AT984_03165	CDS	complement(728534..729211)	septation protein A
pkt:AT984_03170	CDS	complement(729208..729648)	methionine sulfoxide reductase B
pkt:AT984_03175	CDS	729980..731626	long-chain fatty acid--CoA ligase
pkt:AT984_03180	CDS	731676..732917	branched-chain amino acid ABC transporter substrate-binding protein
pkt:AT984_03185	CDS	733086..734102	ABC transporter permease
pkt:AT984_03190	CDS	734107..735402	ABC transporter permease
pkt:AT984_03195	CDS	735411..736202	ABC transporter ATP-binding protein
pkt:AT984_03200	CDS	736264..736974	ABC transporter ATP-binding protein
pkt:AT984_03205	CDS	737404..738453	taurine ABC transporter permease
pkt:AT984_03210	CDS	738453..739280	nitrate ABC transporter ATP-binding protein
pkt:AT984_03215	CDS	739277..740059	ABC transporter permease
pkt:AT984_03220	CDS	740116..741090	hypothetical protein
pkt:AT984_03225	CDS	741473..742474	hypothetical protein
pkt:AT984_03230	CDS	complement(742530..743474)	hypothetical protein
pkt:AT984_03235	CDS	complement(743610..744059)	hypothetical protein
pkt:AT984_03240	CDS	complement(744169..744588)	hypothetical protein
pkt:AT984_03245	CDS	complement(744763..744990)	hypothetical protein
pkt:AT984_03250	CDS	complement(746587..747846)	permease
pkt:AT984_03255	CDS	747984..750077	3-hydroxyacyl-CoA dehydrogenase
pkt:AT984_03260	CDS	750101..751276	acetyl-CoA acetyltransferase
pkt:AT984_03265	CDS	751279..753102	acyl-CoA dehydrogenase
pkt:AT984_03270	CDS	753145..753360	hypothetical protein
pkt:AT984_03275	CDS	753408..754205	gluconate 5-dehydrogenase
pkt:AT984_03280	CDS	754202..754717	phenylacetic acid degradation protein
pkt:AT984_03285	CDS	complement(754756..756309)	hypothetical protein
pkt:AT984_03290	CDS	756717..757739	2-alkenal reductase
pkt:AT984_03295	CDS	757739..758200	hypothetical protein
pkt:AT984_03300	CDS	758217..759113	hypothetical protein
pkt:AT984_03305	CDS	759175..760449	NAD(FAD)-utilizing dehydrogenase
pkt:AT984_03310	CDS	complement(760507..762006)	ribonuclease II
pkt:AT984_03315	CDS	762128..764482	RNA-binding transcriptional accessory protein
pkt:AT984_03320	CDS	764719..766932	hypothetical protein
pkt:AT984_03325	CDS	766935..768062	phospholipase
pkt:AT984_03330	CDS	768152..768499	hypothetical protein
pkt:AT984_03335	CDS	768804..770711	threonine--tRNA ligase
pkt:AT984_03340	CDS	770847..771329	translation initiation factor IF-3
pkt:AT984_03345	CDS	771580..771783	50S ribosomal protein L35
pkt:AT984_03350	CDS	771810..772166	rplT; 50S ribosomal protein L20
pkt:AT984_03355	CDS	772292..773335	phenylalanine--tRNA ligase subunit alpha
pkt:AT984_03360	CDS	773389..775815	phenylalanine--tRNA ligase subunit beta
pkt:AT984_03365	CDS	775932..776291	integration host factor subunit alpha
pkt:AT984_03370	CDS	776327..776851	hypothetical protein
pkt:AT984_03375	tRNA	776897..776973	tRNA-Pro
pkt:AT984_03380	CDS	777319..777798	hypothetical protein
pkt:AT984_03385	CDS	complement(777824..778045)	hypothetical protein
pkt:AT984_03390	CDS	complement(778179..778829)	OsmY domain-containing protein
pkt:AT984_03395	CDS	779266..779730	hypothetical protein
pkt:AT984_03400	CDS	780041..781459	RND transporter
pkt:AT984_03405	CDS	781636..782928	RND transporter
pkt:AT984_03410	CDS	782925..783674	macrolide ABC transporter ATP-binding protein
pkt:AT984_03415	CDS	783674..784888	multidrug ABC transporter substrate-binding protein
pkt:AT984_03420	CDS	784941..785648	hypothetical protein
pkt:AT984_03425	CDS	complement(785700..786359)	nitroreductase
pkt:AT984_03430	CDS	complement(786371..786679)	hypothetical protein
pkt:AT984_03435	CDS	complement(786676..786876)	heavy metal transporter
pkt:AT984_03440	CDS	complement(786964..787515)	hypothetical protein
pkt:AT984_03445	CDS	complement(787863..788675)	hypothetical protein
