ccol:SSU_rRNA-1	rRNA	complement(1..491)	Small Subunit Ribosomal RNA; ssuRNA; SSU ribosomal RNA
ccol:BN865_13540	CDS	1289828..1290391	UbiX family decarboxylase associated with menaquinone via futalosine
ccol:BN865_13550	CDS	1290431..1290907	Phosphopantetheine adenylyltransferase
ccol:BN865_13560	CDS	1290898..1291476	Thymidylate kinase
ccol:BN865_13570	CDS	1291473..1292699	Histidyl-tRNA synthetase
ccol:BN865_13580	CDS	1292696..1294531	Arginine decarboxylase
ccol:BN865_13590	CDS	1294532..1295164	Serine acetyltransferase
ccol:BN865_13600	CDS	1295318..1296487	Aspartate aminotransferase
ccol:BN865_13610c	CDS	complement(1296565..1296906)	FIG00469696: hypothetical protein
ccol:BN865_13620c	CDS	complement(1296985..1299933)	Type I restriction-modification system, restriction subunit R
ccol:BN865_13630c	CDS	complement(1299926..1301497)	ABC transporter, ATP-binding protein-related protein
ccol:BN865_13640c	CDS	complement(1301625..1302143)	Type I restriction-modification system, specificity subunit S
ccol:BN865_13650c	CDS	complement(1302140..1304050)	Type I restriction-modification system, DNA-methyltransferase subunit M
ccol:BN865_13660c	CDS	complement(1304176..1306047)	Chaperone protein DnaK
ccol:BN865_13670c	CDS	complement(1306069..1306596)	Heat shock protein GrpE
ccol:BN865_13680c	CDS	complement(1306593..1307384)	Heat-inducible transcription repressor HrcA
ccol:BN865_13690c	CDS	complement(1307690..1309780)	Ferric receptor CfrA
ccol:BN865_13700	CDS	1310039..1310740	Ferric siderophore transport system, periplasmic binding protein TonB
ccol:5S_RNA-2	rRNA	complement(1311187..1311304)	5S RNA
ccol:LSU_rRNA-2	rRNA	complement(1311458..1315122)	Large Subunit Ribosomal RNA; lsuRNA; LSU ribosomal RNA
ccol:5S_RNA-3	rRNA	complement(1311940..1312058)	5S RNA
ccol:tRNA-Ile-2	tRNA	complement(1315574..1315647)	tRNA-Ile
ccol:tRNA-Ala-3	tRNA	complement(1315658..1315730)	tRNA-Ala
ccol:SSU_rRNA-3	rRNA	complement(1315884..1317341)	Small Subunit Ribosomal RNA; ssuRNA; SSU ribosomal RNA
ccol:BN865_13710	CDS	1317848..1318618	Histidine-binding protein precursor
ccol:BN865_13720c	CDS	complement(1318641..1319279)	Predicted phosphoserine phosphatase
ccol:BN865_13730c	CDS	complement(1319276..1320265)	Ferric iron ABC transporter, ATP-binding protein
ccol:BN865_13740c	CDS	complement(1320268..1321047)	Thiamin ABC transporter, transmembrane component
ccol:BN865_13750c	CDS	complement(1321048..1321887)	ABC transporter permease protein
ccol:BN865_13770c	CDS	complement(1321884..1322690)	FIG00470120: hypothetical protein
ccol:BN865_13780c	CDS	complement(1322754..1323800)	Putative periplasmic solute-binding protein
ccol:BN865_13790	CDS	1323920..1324903	Magnesium and cobalt transport protein CorA
ccol:BN865_13800	CDS	1324922..1325464	Molybdopterin biosynthesis Mog protein, molybdochelatase
ccol:BN865_13810c	CDS	complement(1325461..1325646)	FIG00469380: hypothetical protein
ccol:BN865_13820	CDS	1325774..1326694	Putative integral membrane zinc-metalloprotease
ccol:BN865_13830	CDS	1326652..1326963	Putative integral membrane zinc-metalloprotease
ccol:BN865_13840	CDS	1326960..1327760	Protein-N(5)-glutamine methyltransferase PrmC, methylates polypeptide chain release factors RF1 and RF2
ccol:BN865_13850	CDS	1327802..1328275	membrane protein
ccol:BN865_13860	CDS	1328310..1329059	Flagellin C
ccol:BN865_13870	CDS	1329096..1329728	Hypothetical protein YggS, proline synthase co-transcribed bacterial homolog PROSC
ccol:BN865_13880c	CDS	complement(1329745..1333347)	DNA polymerase III alpha subunit
ccol:BN865_13900c	CDS	complement(1333553..1333882)	Arsenate reductase
ccol:BN865_13910c	CDS	complement(1333879..1335222)	2-keto-3-deoxy-D-arabino-heptulosonate-7-phosphate synthase II
ccol:BN865_13920c	CDS	complement(1335246..1335659)	Transthyretin-like periplasmic protein
ccol:BN865_13930c	CDS	complement(1335814..1336170)	LSU ribosomal protein L19p
ccol:BN865_13940c	CDS	complement(1336180..1336884)	tRNA (Guanine37-N1)-methyltransferase
ccol:BN865_13950c	CDS	complement(1336881..1337420)	16S rRNA processing protein RimM
ccol:BN865_13960c	CDS	complement(1337413..1337655)	KH domain RNA binding protein YlqC
ccol:BN865_13970c	CDS	complement(1337661..1337888)	SSU ribosomal protein S16p
ccol:BN865_13980c	CDS	complement(1337956..1339293)	Signal recognition particle, subunit Ffh SRP54 (TC 3.A.5.1.1)
ccol:BN865_13990c	CDS	complement(1339360..1340112)	FIG000124: Ribosomal large subunit pseudouridine synthase D
ccol:BN865_14000c	CDS	complement(1340093..1341226)	3-deoxy-D-manno-octulosonic-acid transferase, CAzY family GT30
ccol:BN865_14010c	CDS	complement(1341247..1341963)	FIG137478: Hypothetical protein
ccol:BN865_14020c	CDS	complement(1341973..1342698)	FIG137478: Hypothetical protein
ccol:BN865_14030c	CDS	complement(1342685..1343548)	Glycyl-tRNA synthetase alpha chain
ccol:BN865_14040c	CDS	complement(1343550..1344104)	FIG00469551: hypothetical protein
ccol:BN865_14050c	CDS	complement(1344117..1344611)	Phosphoribosylaminoimidazole carboxylase catalytic subunit
ccol:BN865_14060c	CDS	complement(1344608..1345864)	Predicted protease from collagenase family
ccol:BN865_14070c	CDS	complement(1345861..1346565)	FIG00469729: hypothetical protein
ccol:BN865_14080	CDS	1346764..1348194	Glutamine synthetase type I
ccol:BN865_14090c	CDS	complement(1348512..1349303)	Flagellar basal-body rod protein FlgG
ccol:BN865_14100c	CDS	complement(1349334..1350146)	Flagellar basal-body rod protein FlgF
ccol:BN865_14110c	CDS	complement(1350297..1351409)	Cell division protein FtsZ
ccol:BN865_14130c	CDS	complement(1351426..1352808)	Cell division protein FtsA
ccol:BN865_14140c	CDS	complement(1352811..1354301)	Peptidyl-prolyl cis-trans isomerase PpiD
ccol:BN865_14150	CDS	1354453..1355388	rRNA small subunit methyltransferase H
ccol:BN865_14170	CDS	1355388..1356278	membrane protein
ccol:BN865_14180c	CDS	complement(1356266..1356757)	membrane protein
ccol:BN865_14190c	CDS	complement(1356831..1358021)	Acetate kinase
ccol:BN865_14200c	CDS	complement(1358035..1359537)	Phosphate acetyltransferase
ccol:BN865_14210	CDS	1359642..1360340	Flagellar L-ring protein FlgH
ccol:BN865_14220c	CDS	complement(1360406..1361479)	1-hydroxy-2-methyl-2-(E)-butenyl 4-diphosphate synthase
ccol:BN865_14230	CDS	1361606..1362124	Adenylylsulfate kinase
ccol:BN865_14240	CDS	1362159..1363553	Possible sugar transferase
ccol:BN865_14260	CDS	1363662..1364435	Methyltransferase, possibly involved in O-methyl phosphoramidate capsule modification
ccol:BN865_14270	CDS	1364481..1365242	Methyltransferase, possibly involved in O-methyl phosphoramidate capsule modification
ccol:BN865_14280	CDS	1365254..1367593	Phosphoenolpyruvate synthase / Pyruvate phosphate dikinase
ccol:BN865_14290	CDS	1367584..1368192	Putative amidotransferase (Type 1 glutamine amidotransferase-GATase1)
ccol:BN865_14300	CDS	1368189..1368959	Putative sugar nucleotidyltransferase
ccol:BN865_14320c	CDS	complement(1368943..1370781)	Helicase PriA essential for oriC/DnaA-independent DNA replication
ccol:BN865_14330c	CDS	complement(1370778..1371224)	Putative periplasmic protein
ccol:BN865_14340c	CDS	complement(1371221..1371466)	FIG00469447: hypothetical protein
ccol:BN865_14350c	CDS	complement(1371456..1371686)	FIG00470215: hypothetical protein
ccol:BN865_14360	CDS	1371840..1373813	Excinuclease ABC subunit B
ccol:BN865_14370c	CDS	complement(1373848..1375272)	C4-dicarboxylate transporter DcuB
ccol:BN865_14380c	CDS	complement(1375448..1376698)	RNA polymerase sigma-54 factor RpoN
ccol:BN865_14390c	CDS	complement(1376698..1377426)	Lipopolysaccharide ABC transporter, ATP-binding protein LptB
ccol:BN865_14400c	CDS	complement(1377419..1377826)	ATPase YjeE, predicted to have essential role in cell wall biosynthesis
ccol:BN865_14410c	CDS	complement(1377823..1378068)	Ribosome-associated heat shock protein implicated in the recycling of the 50S subunit (S4 paralog)
ccol:BN865_14430	CDS	1378211..1379431	Argininosuccinate synthase
ccol:BN865_14440	CDS	1379446..1379889	LSU ribosomal protein L9p
ccol:BN865_14450	CDS	1379889..1380431	ATP-dependent protease HslV
ccol:BN865_14460	CDS	1380428..1381747	ATP-dependent hsl protease ATP-binding subunit HslU
ccol:BN865_14470	CDS	1381744..1382619	GTP-binding protein Era
ccol:BN865_14480	CDS	1382609..1383685	Putative transmembrane protein
ccol:BN865_14490	CDS	1383682..1384242	Putative periplasmic protein
ccol:BN865_14500	CDS	1384331..1386118	Xaa-Pro aminopeptidase
ccol:BN865_14510c	CDS	complement(1386168..1388003)	Cell division protein FtsI [Peptidoglycan synthetase]
ccol:BN865_14520c	CDS	complement(1388003..1388497)	membrane protein
ccol:BN865_14530c	CDS	complement(1388499..1389089)	GTP-binding protein EngB
ccol:BN865_14540c	CDS	complement(1389086..1389544)	OstA family organic solvent tolerance protein
ccol:BN865_14550c	CDS	complement(1389529..1390041)	FIG00469406: hypothetical protein
ccol:BN865_14560c	CDS	complement(1390032..1390520)	3-deoxy-D-manno-octulosonate 8-phosphate phosphatase
ccol:BN865_14570c	CDS	complement(1390523..1391320)	Rare lipoprotein A precursor
ccol:BN865_14580c	CDS	complement(1391307..1392440)	Membrane-bound lytic murein transglycosylase D precursor
ccol:BN865_14590c	CDS	complement(1392437..1393255)	Putative deoxyribonuclease YcfH
ccol:BN865_14600c	CDS	complement(1393246..1394490)	Putative two-component response regulator
ccol:BN865_14610c	CDS	complement(1394582..1396105)	DNA repair protein RecN
ccol:BN865_14620c	CDS	complement(1396105..1396965)	NAD kinase
ccol:BN865_14630	CDS	1397060..1398811	Aspartyl-tRNA synthetase @ Aspartyl-tRNA(Asn) synthetase
ccol:BN865_14640	CDS	1398808..1399383	Adenylate kinase
ccol:BN865_14650	CDS	1399394..1399912	Inorganic pyrophosphatase
ccol:BN865_14660	CDS	1399960..1400460	Peptide methionine sulfoxide reductase MsrA
ccol:BN865_14670c	CDS	complement(1400640..1401515)	Ribosomal RNA small subunit methyltransferase B
ccol:BN865_14680c	CDS	complement(1401505..1401885)	Putative Holliday junction resolvase YggF
ccol:BN865_14690c	CDS	complement(1401882..1402652)	Rossmann fold nucleotide-binding protein Smf possibly involved in DNA uptake
ccol:BN865_14700c	CDS	complement(1402642..1403703)	Putative periplasmic protein
ccol:BN865_14710c	CDS	complement(1403706..1404728)	Ketol-acid reductoisomerase
ccol:BN865_14720	CDS	1404851..1406785	3'-to-5' exoribonuclease RNase R
ccol:BN865_14730	CDS	1406778..1407743	FIG00469794: hypothetical protein
ccol:BN865_14740	CDS	1407821..1408864	Family of unknown function (DUF450) family
ccol:BN865_14750c	CDS	complement(1408889..1409233)	[NiFe] hydrogenase nickel incorporation protein HypA
ccol:BN865_14760c	CDS	complement(1409233..1410207)	[NiFe] hydrogenase metallocenter assembly protein HypE
ccol:BN865_14780c	CDS	complement(1410204..1411295)	[NiFe] hydrogenase metallocenter assembly protein HypD
ccol:BN865_14790c	CDS	complement(1411279..1411560)	[NiFe] hydrogenase metallocenter assembly protein HypC
ccol:BN865_14800c	CDS	complement(1411560..1412309)	[NiFe] hydrogenase nickel incorporation-associated protein HypB
ccol:BN865_14810c	CDS	complement(1412386..1414572)	[NiFe] hydrogenase metallocenter assembly protein HypF
ccol:BN865_14820c	CDS	complement(1414553..1416070)	FIG00469400: hypothetical protein
ccol:BN865_14830c	CDS	complement(1416117..1416764)	Predicted metal-dependent hydrolase
ccol:BN865_14840c	CDS	complement(1416740..1418056)	Multi antimicrobial extrusion protein (Na(+)/drug antiporter), MATE family of MDR efflux pumps
ccol:BN865_14850c	CDS	complement(1418232..1418972)	Phosphate transport ATP-binding protein PstB (TC 3.A.1.7.1)
ccol:BN865_14860c	CDS	complement(1418969..1420057)	Phosphate transport system permease protein PstA (TC 3.A.1.7.1)
ccol:BN865_14870c	CDS	complement(1420054..1420968)	Phosphate transport system permease protein PstC (TC 3.A.1.7.1)
ccol:BN865_14880c	CDS	complement(1420978..1421973)	Phosphate ABC transporter, periplasmic phosphate-binding protein PstS (TC 3.A.1.7.1)
ccol:BN865_14890	CDS	1422267..1422767	Nonheme iron-containing ferritin
ccol:BN865_14900	CDS	1422818..1424194	Probable poly(beta-D-mannuronate) O-acetylase
ccol:BN865_14910	CDS	1424195..1425184	Putative periplasmic protein
ccol:BN865_14920	CDS	1425174..1426343	Possible periplasmic protein
ccol:BN865_14930c	CDS	complement(1426413..1427777)	Outer membrane efflux protein
ccol:BN865_14940c	CDS	complement(1427779..1429704)	Macrolide export ATP-binding/permease protein MacB
ccol:BN865_14950c	CDS	complement(1429704..1430876)	Macrolide-specific efflux protein MacA
ccol:BN865_14960c	CDS	complement(1430956..1432146)	N-acetyl-L,L-diaminopimelate deacetylase
ccol:BN865_14970c	CDS	complement(1432150..1433031)	UDP-galactose-lipid carrier transferase
ccol:BN865_14980	CDS	1433130..1434830	Cytochrome c-type biogenesis protein DsbD, protein-disulfide reductase
ccol:BN865_14990	CDS	1434827..1435495	Uncharacterized protein conserved in bacteria
ccol:BN865_15000	CDS	1435546..1436889	Putative sodium-dependent transmembrane transport protein
ccol:BN865_15010	CDS	1437174..1438424	Major outer membrane protein
ccol:BN865_15020c	CDS	complement(1438565..1439689)	Chaperone protein DnaJ
ccol:BN865_15030	CDS	1439834..1440505	Two-component system response regulator RacR
ccol:BN865_15040	CDS	1440502..1441752	Two-component system histidine kinase DccS
ccol:BN865_15050	CDS	1441742..1442317	Recombination protein RecR
ccol:BN865_15060c	CDS	complement(1442319..1442852)	Hydrogenase maturation protease
ccol:BN865_15070c	CDS	complement(1442849..1443541)	Quinone-reactive Ni/Fe hydrogenase, cytochrome b subunit
ccol:BN865_15080c	CDS	complement(1443552..1445267)	Quinone-reactive Ni/Fe-hydrogenase large chain
ccol:BN865_15090c	CDS	complement(1445273..1446412)	Quinone-reactive Ni/Fe-hydrogenase small chain precursor
ccol:BN865_15100c	CDS	complement(1446544..1448379)	tRNA (5-methylaminomethyl-2-thiouridylate)-methyltransferase / FAD-dependent cmnm(5)s(2)U34 oxidoreductase
ccol:BN865_15110c	CDS	complement(1448376..1450346)	N-acetylmuramoyl-L-alanine amidase
ccol:BN865_15120c	CDS	complement(1450346..1451437)	Enoyl-[acyl-carrier-protein] reductase [FMN]
ccol:BN865_15130c	CDS	complement(1451434..1452639)	Tyrosyl-tRNA synthetase
ccol:BN865_15140c	CDS	complement(1452655..1454850)	GTP pyrophosphokinase, (p)ppGpp synthetase II / Guanosine-3',5'-bis(diphosphate) 3'-pyrophosphohydrolase
ccol:BN865_15150c	CDS	complement(1454834..1455058)	DNA-directed RNA polymerase omega subunit
ccol:BN865_15160c	CDS	complement(1455072..1455788)	Uridylate kinase
ccol:BN865_15170c	CDS	complement(1455840..1457042)	FIG00387867: hypothetical protein
ccol:BN865_15180c	CDS	complement(1457039..1457845)	Cell division protein FtsX
ccol:BN865_15190c	CDS	complement(1457832..1458497)	Cell division transporter, ATP-binding protein FtsE (TC 3.A.5.1.1)
ccol:BN865_15200c	CDS	complement(1458546..1459742)	tRNA (guanine46-N7-)-methyltransferase
ccol:BN865_15210c	CDS	complement(1459742..1460959)	Putative fibronectin domain-containing lipoprotein
ccol:BN865_15220c	CDS	complement(1460922..1461887)	Ribosomal large subunit pseudouridine synthase D
ccol:BN865_15230	CDS	1461966..1463066	Rod shape-determining protein RodA
ccol:tRNA-Met-3	tRNA	1463118..1463191	tRNA-Met
ccol:BN865_15240c	CDS	complement(1463822..1466821)	CRISPR-associated protein, Csn1 family
ccol:BN865_15250c	CDS	complement(1466904..1468277)	Replicative DNA helicase
ccol:BN865_15270	CDS	1468427..1469356	Possible periplasmic protein
ccol:BN865_15280c	CDS	complement(1469379..1470710)	Multi antimicrobial extrusion protein (Na(+)/drug antiporter), MATE family of MDR efflux pumps
ccol:BN865_15290c	CDS	complement(1470936..1471871)	Thioredoxin reductase
ccol:BN865_15300	CDS	1471944..1473176	Gamma-glutamyl phosphate reductase
ccol:BN865_15310	CDS	1473173..1474258	membrane protein
ccol:BN865_15320c	CDS	complement(1474244..1475041)	FIG00469464: hypothetical protein
ccol:BN865_15330c	CDS	complement(1475052..1476338)	membrane protein
ccol:BN865_15340c	CDS	complement(1476678..1477247)	Translation elongation factor P
ccol:BN865_15350c	CDS	complement(1477680..1477952)	FIG00469490: hypothetical protein
ccol:BN865_15360c	CDS	complement(1477936..1478319)	Flagellar biosynthesis protein FliS
ccol:BN865_15380c	CDS	complement(1478329..1480278)	Flagellar hook-associated protein FliD
ccol:BN865_15390c	CDS	complement(1480281..1480649)	Possible flagellar protein
ccol:BN865_15400c	CDS	complement(1480812..1482617)	UbiD family decarboxylase associated with menaquinone via futalosine
ccol:BN865_15420c	CDS	complement(1482614..1483540)	Porphobilinogen deaminase
ccol:BN865_15430c	CDS	complement(1483537..1483923)	Putative integral memnbrane protein
ccol:BN865_15440c	CDS	complement(1483920..1485626)	Prolyl-tRNA synthetase, bacterial type
ccol:BN865_15450c	CDS	complement(1485616..1486911)	Glutamyl-tRNA reductase
ccol:BN865_15460c	CDS	complement(1486911..1487804)	Octaprenyl diphosphate synthase / Dimethylallyltransferase / (2E,6E)-farnesyl diphosphate synthase / Geranylgeranyl diphosphate synthase
ccol:BN865_15470c	CDS	complement(1487826..1488350)	FIG00469524: hypothetical protein
ccol:BN865_15480c	CDS	complement(1488350..1488613)	FIG00469421: hypothetical protein
ccol:BN865_15490c	CDS	complement(1488745..1489302)	2-oxoglutarate oxidoreductase, gamma subunit
ccol:BN865_15500c	CDS	complement(1489299..1490144)	2-oxoglutarate oxidoreductase, beta subunit
ccol:BN865_15510c	CDS	complement(1490146..1491270)	2-oxoglutarate oxidoreductase, alpha subunit
ccol:BN865_15520c	CDS	complement(1491279..1491590)	2-oxoglutarate oxidoreductase, delta subunit, putative
ccol:BN865_15530c	CDS	complement(1491606..1492475)	Succinyl-CoA ligase [ADP-forming] alpha chain
ccol:BN865_15540c	CDS	complement(1492485..1493648)	Succinyl-CoA ligase [ADP-forming] beta chain
ccol:BN865_15550c	CDS	complement(1493645..1494553)	Malate dehydrogenase
ccol:BN865_15560c	CDS	complement(1494550..1496754)	Isocitrate dehydrogenase [NADP]; Monomeric isocitrate dehydrogenase [NADP]
ccol:BN865_15570c	CDS	complement(1496872..1499268)	FIG01209130: hypothetical protein
ccol:BN865_15580	CDS	1499357..1500358	FIG004453: protein YceG like
ccol:BN865_15590	CDS	1500434..1500865	Flagellar basal-body rod protein FlgB
ccol:BN865_15600	CDS	1500875..1501369	Flagellar basal-body rod protein FlgC
ccol:BN865_15610	CDS	1501376..1501675	Flagellar hook-basal body complex protein FliE
ccol:BN865_15620	CDS	1501748..1503487	Cell division protein FtsI [Peptidoglycan synthetase]
ccol:BN865_15630c	CDS	complement(1503480..1505282)	Sodium-dependent phosphate transporter
ccol:BN865_15640c	CDS	complement(1505263..1505697)	membrane protein
ccol:BN865_15650c	CDS	complement(1505694..1506014)	FIG00470600: hypothetical protein
ccol:BN865_15660c	CDS	complement(1506011..1507840)	Chaperone protein HtpG
ccol:BN865_15670c	CDS	complement(1507913..1508281)	CrcB protein
ccol:BN865_15680c	CDS	complement(1508275..1508967)	1-acyl-sn-glycerol-3-phosphate acyltransferase
ccol:BN865_15690c	CDS	complement(1508948..1510147)	Putative periplasmic protein
ccol:BN865_15700c	CDS	complement(1510144..1510788)	Phosphoribosylformylglycinamidine synthase, glutamine amidotransferase subunit
ccol:BN865_15710c	CDS	complement(1510788..1511033)	Phosphoribosylformylglycinamidine synthase, PurS subunit
ccol:BN865_15720c	CDS	complement(1511042..1511752)	Phosphoribosylaminoimidazole-succinocarboxamide synthase
ccol:BN865_15730c	CDS	complement(1511754..1513076)	Carboxyl-terminal protease
ccol:BN865_15740	CDS	1513234..1513515	FIG00470286: hypothetical protein
ccol:BN865_15750	CDS	1513649..1516222	ClpB protein
ccol:BN865_15760c	CDS	complement(1516266..1518197)	Multimodular transpeptidase-transglycosylase
ccol:BN865_15770c	CDS	complement(1518194..1518745)	Septum formation protein Maf
ccol:BN865_15780c	CDS	complement(1518749..1521277)	Alanyl-tRNA synthetase
ccol:BN865_15790	CDS	1521394..1522473	Putative aminotransferase
ccol:BN865_15800	CDS	1522470..1523582	Methionine synthase II (cobalamin-independent)
ccol:BN865_15810	CDS	1523579..1524433	Predicted dehydrogenases and related proteins
ccol:BN865_15820	CDS	1524562..1525473	Ferrochelatase, protoheme ferro-lyase
ccol:BN865_15830c	CDS	complement(1525546..1526781)	Ammonium transporter
ccol:BN865_15840c	CDS	complement(1527086..1528084)	Selenophosphate-dependent tRNA 2-selenouridine synthase
ccol:BN865_15850c	CDS	complement(1528074..1528559)	HIT family protein
ccol:BN865_15860c	CDS	complement(1528570..1529346)	Indole-3-glycerol phosphate synthase
ccol:BN865_15870c	CDS	complement(1529343..1530620)	Putative lipoprotein
ccol:BN865_15880c	CDS	complement(1530593..1530967)	FIG00469387: hypothetical protein
ccol:BN865_15890c	CDS	complement(1530957..1531658)	tRNA (adenine37-N(6))-methyltransferase TrmN6
ccol:BN865_15900c	CDS	complement(1531661..1531813)	FIG00469900: hypothetical protein
ccol:tRNA-Arg-4	tRNA	complement(1531887..1531960)	tRNA-Arg
ccol:BN865_15910c	CDS	complement(1531989..1534064)	Translation elongation factor G
ccol:BN865_15940c	CDS	complement(1534077..1534547)	SSU ribosomal protein S7p (S5e)
ccol:BN865_15950c	CDS	complement(1534617..1535000)	SSU ribosomal protein S12p (S23e)
ccol:BN865_15960c	CDS	complement(1535276..1539826)	DNA-directed RNA polymerase beta' subunit
ccol:BN865_15970c	CDS	complement(1539819..1543946)	DNA-directed RNA polymerase beta subunit
ccol:BN865_15990c	CDS	complement(1544068..1544445)	LSU ribosomal protein L7/L12 (P1/P2)
ccol:BN865_16000c	CDS	complement(1544463..1544942)	LSU ribosomal protein L10p (P0)
ccol:BN865_16010c	CDS	complement(1545092..1545793)	LSU ribosomal protein L1p (L10Ae)
ccol:BN865_16020c	CDS	complement(1545851..1546276)	LSU ribosomal protein L11p (L12e)
ccol:BN865_16030c	CDS	complement(1546302..1546835)	Transcription antitermination protein NusG
ccol:BN865_16040c	CDS	complement(1546848..1547027)	Preprotein translocase subunit SecE (TC 3.A.5.1.1)
ccol:tRNA-Trp	tRNA	complement(1547049..1547121)	tRNA-Trp
ccol:BN865_16050c	CDS	complement(1547133..1547291)	LSU ribosomal protein L33p
ccol:BN865_16060c	CDS	complement(1547344..1548462)	Translation elongation factor Tu
ccol:tRNA-Thr-1	tRNA	complement(1548607..1548678)	tRNA-Thr
ccol:tRNA-Gly-3	tRNA	complement(1548776..1548849)	tRNA-Gly
ccol:tRNA-Tyr	tRNA	complement(1548859..1548941)	tRNA-Tyr
ccol:tRNA-Thr-2	tRNA	complement(1549004..1549076)	tRNA-Thr
ccol:BN865_16070c	CDS	complement(1549201..1549938)	Amino-acid ABC transporter ATP-binding protein
ccol:BN865_16080c	CDS	complement(1549940..1550596)	Amino-acid ABC transporter integral membrane protein
ccol:BN865_16090c	CDS	complement(1550589..1551290)	Amino-acid ABC transporter integral membrane protein
ccol:BN865_16100c	CDS	complement(1551301..1551897)	Putative transcriptional regulator
ccol:BN865_16110	CDS	1551980..1552363	FIG00469384: hypothetical protein
ccol:BN865_16120c	CDS	complement(1552366..1553157)	ATP-dependent DNA helicase RecG
ccol:BN865_16130c	CDS	complement(1553171..1554181)	ATP-dependent DNA helicase RecG
ccol:BN865_16140c	CDS	complement(1554171..1555391)	Zinc protease-like protein
ccol:BN865_16150c	CDS	complement(1555391..1556437)	Menaquinone via futalosine step 3
ccol:BN865_16160	CDS	1556510..1557697	Putative integral membrane protein
ccol:BN865_16170c	CDS	complement(1557724..1558812)	Transcription termination protein NusA
ccol:BN865_16180	CDS	1558937..1559179	FIG00388607: hypothetical protein
ccol:BN865_16190	CDS	1559242..1560477	tRNA-i(6)A37 methylthiotransferase
ccol:BN865_16200	CDS	1560518..1561084	Protein of unknown function DUF374
ccol:BN865_16210	CDS	1561093..1562082	FIG00469410: hypothetical protein
ccol:BN865_16220	CDS	1562079..1562600	Putative membrane protein
ccol:BN865_16230	CDS	1562597..1563115	membrane protein
ccol:BN865_16240c	CDS	complement(1563107..1564399)	Thiamin biosynthesis protein ThiC
ccol:BN865_16250c	CDS	complement(1564571..1565332)	DEDDh 3'-5' exonuclease domain of the epsilon subunit of DNA polymerase III
ccol:BN865_16260c	CDS	complement(1565329..1565976)	Ribulose-phosphate 3-epimerase
ccol:BN865_16270	CDS	1566114..1566308	LSU ribosomal protein L28p
ccol:BN865_16280	CDS	1566493..1566708	Hypothetical protein Cj0449c
ccol:BN865_16290	CDS	1566719..1567816	Methyl-accepting chemotaxis signal transduction protein
ccol:BN865_16300c	CDS	complement(1567827..1568423)	Uridine diphosphate glucose pyrophosphatase
ccol:BN865_16310c	CDS	complement(1568502..1570562)	Ferric receptor CfrA
ccol:BN865_16320c	CDS	complement(1570707..1571645)	Acetyl-coenzyme A carboxyl transferase alpha chain
ccol:BN865_16340c	CDS	complement(1571647..1572861)	Cco24_10850; 3-oxoacyl-[acyl-carrier-protein] synthase, KASII
ccol:BN865_16350c	CDS	complement(1572895..1573128)	Acyl carrier protein
ccol:BN865_16360	CDS	1573245..1573910	Thiaminase II
ccol:BN865_16370c	CDS	complement(1573930..1574337)	FIG00469784: hypothetical protein
ccol:BN865_16380c	CDS	complement(1574348..1575091)	3-oxoacyl-[acyl-carrier protein] reductase
ccol:BN865_16390c	CDS	complement(1575156..1576634)	2,3-bisphosphoglycerate-independent phosphoglycerate mutase
ccol:BN865_16400	CDS	1576713..1577774	Phospho-N-acetylmuramoyl-pentapeptide-transferase
ccol:BN865_16410	CDS	1577771..1578982	UDP-N-acetylmuramoylalanine--D-glutamate ligase
ccol:5S_RNA-4	rRNA	complement(1579451..1579568)	5S RNA
ccol:LSU_rRNA-3	rRNA	complement(1579722..1582634)	Large Subunit Ribosomal RNA; lsuRNA; LSU ribosomal RNA
ccol:tRNA-Ile-3	tRNA	complement(1583089..1583162)	tRNA-Ile
ccol:tRNA-Ala-4	tRNA	complement(1583173..1583245)	tRNA-Ala
ccol:SSU_rRNA-4	rRNA	complement(1583399..1584486)	Small Subunit Ribosomal RNA; ssuRNA; SSU ribosomal RNA
