arh:AHiyo8_pI65860	gene	pHiyo8-1:<1..492	AHiyo8_pI65860
arh:AHiyo8_pI68710	CDS	pHiyo8-1:complement(208226..209911)	oligopeptide transport ATP-binding protein OppD
arh:AHiyo8_pI68720	CDS	pHiyo8-1:complement(209860..211269)	oligopeptide transport system permease protein AppB
arh:AHiyo8_pI68730	CDS	pHiyo8-1:complement(211430..212119)	NADPH-dependent butanol dehydrogenase
arh:AHiyo8_pI68740	CDS	pHiyo8-1:complement(212077..212625)	NADPH-dependent butanol dehydrogenase
arh:AHiyo8_pI68750	CDS	pHiyo8-1:complement(213191..213628)	phosphonopyruvate decarboxylase
arh:AHiyo8_pI68760	CDS	pHiyo8-1:complement(213728..214645)	phosphoenolpyruvate phosphomutase
arh:AHiyo8_pI68770	CDS	pHiyo8-1:complement(214700..214900)	hypothetical protein
arh:AHiyo8_pI68780	CDS	pHiyo8-1:complement(214904..215419)	conserved hypothetical protein
arh:AHiyo8_pI68790	CDS	pHiyo8-1:complement(215497..215715)	hypothetical protein
arh:AHiyo8_pI68800	CDS	pHiyo8-1:216091..216603	conserved hypothetical protein
arh:AHiyo8_pI68810	CDS	pHiyo8-1:216868..217134	hypothetical protein
arh:AHiyo8_pI68820	CDS	pHiyo8-1:217134..217853	hypothetical protein
arh:AHiyo8_pI68830	CDS	pHiyo8-1:217960..218577	hypothetical protein
arh:AHiyo8_pI68840	CDS	pHiyo8-1:218631..218840	hypothetical protein
arh:AHiyo8_pI68850	CDS	pHiyo8-1:219293..219763	polysaccharide deacetylase
arh:AHiyo8_pI68860	CDS	pHiyo8-1:219760..220122	polysaccharide deacetylase
arh:AHiyo8_pI68870	CDS	pHiyo8-1:220421..220858	marr-Family protein
arh:AHiyo8_pI68880	CDS	pHiyo8-1:220855..221628	uncharacterized MFS-type transporter YfiS
arh:AHiyo8_pI68890	CDS	pHiyo8-1:221573..223423	conserved hypothetical protein
arh:AHiyo8_pI68900	CDS	pHiyo8-1:complement(223476..223757)	phosphate-Binding protein
arh:AHiyo8_pI68910	CDS	pHiyo8-1:complement(223754..224485)	phosphate-Binding protein
arh:AHiyo8_pI68920	CDS	pHiyo8-1:224798..226423	uncharacterized protein y4wM
arh:AHiyo8_pI68930	CDS	pHiyo8-1:complement(226459..227031)	NUDIX hydrolase
arh:AHiyo8_pI68940	CDS	pHiyo8-1:227369..227893	conserved hypothetical protein
arh:AHiyo8_pI68950	CDS	pHiyo8-1:227839..228474	40-Residue YVTN family beta-propeller repeat protein
arh:AHiyo8_pI68960	CDS	pHiyo8-1:228533..229558	phosphate-Binding protein
arh:AHiyo8_pI68970	CDS	pHiyo8-1:230009..231037	pyrophosphate--fructose 6-phosphate 1-phosphotransferase
arh:AHiyo8_pI68980	CDS	pHiyo8-1:231466..231795	hypothetical protein
arh:AHiyo8_pI68990	CDS	pHiyo8-1:232518..232667	hypothetical protein
arh:AHiyo8_pI69000	CDS	pHiyo8-1:232664..233041	hypothetical protein
arh:AHiyo8_pI69010	CDS	pHiyo8-1:233011..233172	hypothetical protein
arh:AHiyo8_pI69020	CDS	pHiyo8-1:233132..233581	hypothetical protein
arh:AHiyo8_pI69030	CDS	pHiyo8-1:complement(234149..235348)	insertion element IS110 uncharacterized 43.6 kDa protein
arh:AHiyo8_pI69040	CDS	pHiyo8-1:complement(235419..236237)	uncharacterized protein y4hQ
arh:AHiyo8_pI69050	CDS	pHiyo8-1:complement(236405..236809)	hypothetical protein
arh:AHiyo8_pI69060	CDS	pHiyo8-1:complement(237118..237720)	hypothetical protein
arh:AHiyo8_pI69070	CDS	pHiyo8-1:237871..238116	hypothetical protein
arh:AHiyo8_pI69080	CDS	pHiyo8-1:complement(238173..238439)	hypothetical protein
arh:AHiyo8_pI69090	CDS	pHiyo8-1:complement(238436..238666)	hypothetical protein
arh:AHiyo8_pI69100	CDS	pHiyo8-1:complement(238663..239259)	L-Carnitine dehydratase/bile acid-inducible protein F
arh:AHiyo8_pI69110	CDS	pHiyo8-1:239359..239589	hypothetical protein
arh:AHiyo8_pI69120	CDS	pHiyo8-1:complement(239709..240986)	hypothetical protein
arh:AHiyo8_pI69130	CDS	pHiyo8-1:complement(241099..241749)	hypothetical protein
arh:AHiyo8_pI69140	CDS	pHiyo8-1:complement(241746..241934)	hypothetical protein
arh:AHiyo8_pI69150	CDS	pHiyo8-1:complement(242101..242511)	hypothetical protein
arh:AHiyo8_pI69160	CDS	pHiyo8-1:complement(242523..242921)	hypothetical protein
arh:AHiyo8_pI69170	CDS	pHiyo8-1:complement(243329..244345)	hypothetical protein
arh:AHiyo8_pI69180	CDS	pHiyo8-1:complement(244844..245182)	hypothetical protein
arh:AHiyo8_pI69190	CDS	pHiyo8-1:complement(245176..245322)	hypothetical protein
arh:AHiyo8_pI69200	CDS	pHiyo8-1:245380..245583	hypothetical protein
arh:AHiyo8_pI69210	CDS	pHiyo8-1:complement(245561..246280)	hypothetical protein
arh:AHiyo8_pI69220	CDS	pHiyo8-1:246637..247029	hypothetical protein
arh:AHiyo8_pI69230	CDS	pHiyo8-1:247658..248266	conserved hypothetical protein
arh:AHiyo8_pI69240	CDS	pHiyo8-1:248263..248499	conserved hypothetical protein
arh:AHiyo8_pI69250	CDS	pHiyo8-1:248438..249454	hypothetical protein
arh:AHiyo8_pI69260	CDS	pHiyo8-1:249538..251247	hypothetical protein
arh:AHiyo8_pI69270	CDS	pHiyo8-1:251786..252502	uncharacterized WD repeat-containing protein all2124
arh:AHiyo8_pI69280	CDS	pHiyo8-1:252462..252782	hypothetical protein
arh:AHiyo8_pI69290	CDS	pHiyo8-1:252890..253249	hypothetical protein
arh:AHiyo8_pI69300	CDS	pHiyo8-1:complement(253263..253988)	hypothetical protein
arh:AHiyo8_pI69310	CDS	pHiyo8-1:complement(254067..254504)	hypothetical protein
arh:AHiyo8_pI69320	CDS	pHiyo8-1:complement(254683..256707)	conserved hypothetical protein
arh:AHiyo8_pI69330	CDS	pHiyo8-1:complement(256869..257378)	conserved hypothetical protein
arh:AHiyo8_pI69340	CDS	pHiyo8-1:complement(257378..258514)	conserved hypothetical protein
arh:AHiyo8_pI69350	CDS	pHiyo8-1:complement(258507..259304)	hypothetical protein
arh:AHiyo8_pI69360	CDS	pHiyo8-1:259750..260901	hypothetical protein
arh:AHiyo8_pI69370	CDS	pHiyo8-1:261081..261911	uncharacterized ABC transporter ATP-binding protein MJ1023
arh:AHiyo8_pI69380	CDS	pHiyo8-1:261913..263190	uncharacterized protein MJ1024
arh:AHiyo8_pI69390	CDS	pHiyo8-1:complement(263326..263439)	hypothetical protein
arh:AHiyo8_pI69400	CDS	pHiyo8-1:263470..263634	hypothetical protein
arh:AHiyo8_pI69410	CDS	pHiyo8-1:complement(263660..264247)	hypothetical protein
arh:AHiyo8_pI69420	CDS	pHiyo8-1:264556..264816	transposase Tn3 family protein
arh:AHiyo8_pI69430	CDS	pHiyo8-1:265728..267239	putative uncharacterized protein YkfC
arh:AHiyo8_pI69440	CDS	pHiyo8-1:267336..268226	putative transposase for insertion sequence element IS986/IS6110
arh:AHiyo8_pI69450	CDS	pHiyo8-1:268271..269509	transposase for transposon Tn1546
arh:AHiyo8_pI69460	CDS	pHiyo8-1:269458..269718	transposase
arh:AHiyo8_pI69470	CDS	pHiyo8-1:270212..270436	hypothetical protein
arh:AHiyo8_pI69480	CDS	pHiyo8-1:complement(270575..270781)	hypothetical protein
arh:AHiyo8_pI69490	CDS	pHiyo8-1:270909..271226	hypothetical protein
arh:AHiyo8_pI69500	CDS	pHiyo8-1:complement(271259..271630)	hypothetical protein
arh:AHiyo8_pI69510	CDS	pHiyo8-1:complement(271627..272205)	hypothetical protein
arh:AHiyo8_pI69520	CDS	pHiyo8-1:273333..274436	pseudomonalisin
arh:AHiyo8_pI69530	CDS	pHiyo8-1:complement(274879..275118)	hypothetical protein
arh:AHiyo8_pI69540	CDS	pHiyo8-1:complement(275264..275608)	hypothetical protein
arh:AHiyo8_pI69550	CDS	pHiyo8-1:275644..275940	hypothetical protein
arh:AHiyo8_pI69560	CDS	pHiyo8-1:complement(276468..276590)	hypothetical protein
arh:AHiyo8_pI69570	CDS	pHiyo8-1:complement(276639..277691)	uncharacterized protein YhcG
arh:AHiyo8_pI69580	CDS	pHiyo8-1:complement(278491..279042)	hypothetical protein
arh:AHiyo8_pI69590	CDS	pHiyo8-1:complement(278999..279502)	hypothetical protein
arh:AHiyo8_pI69600	CDS	pHiyo8-1:complement(279522..279719)	hypothetical protein
arh:AHiyo8_pI69610	CDS	pHiyo8-1:complement(280153..280491)	hypothetical protein
arh:AHiyo8_pI69620	CDS	pHiyo8-1:complement(280580..281260)	conserved hypothetical protein
arh:AHiyo8_pI69630	CDS	pHiyo8-1:complement(281445..281693)	hypothetical protein
arh:AHiyo8_pI69640	CDS	pHiyo8-1:282004..282285	hypothetical protein
arh:AHiyo8_pI69650	CDS	pHiyo8-1:complement(282552..284246)	protein involved in methylation
arh:AHiyo8_pI69660	CDS	pHiyo8-1:284516..284689	hypothetical protein
arh:AHiyo8_pI69670	CDS	pHiyo8-1:complement(284739..285404)	protein involved in methylation
arh:AHiyo8_pI69680	CDS	pHiyo8-1:complement(285633..287204)	protein involved in methylation
arh:AHiyo8_pI69690	CDS	pHiyo8-1:complement(287201..287524)	protein involved in methylation
arh:AHiyo8_pI69700	CDS	pHiyo8-1:complement(287656..287967)	hypothetical protein
arh:AHiyo8_pI69710	CDS	pHiyo8-1:complement(288116..288688)	transposon Tn552 DNA-invertase BinR
arh:AHiyo8_pI69720	CDS	pHiyo8-1:complement(288720..288833)	hypothetical protein
arh:AHiyo8_pI69730	CDS	pHiyo8-1:289107..289565	conserved hypothetical protein
arh:AHiyo8_pI69740	CDS	pHiyo8-1:289553..290041	conserved hypothetical protein
arh:AHiyo8_pI69750	CDS	pHiyo8-1:290240..290986	hypothetical protein
arh:AHiyo8_pI69760	CDS	pHiyo8-1:291117..291983	serine-Type endopeptidase
arh:AHiyo8_pI69770	CDS	pHiyo8-1:292211..293278	conserved hypothetical protein
arh:AHiyo8_pI69780	CDS	pHiyo8-1:293544..294131	hypothetical protein
arh:AHiyo8_pI69790	CDS	pHiyo8-1:294131..294334	hypothetical protein
arh:AHiyo8_pI69800	CDS	pHiyo8-1:complement(294428..294700)	hypothetical protein
arh:AHiyo8_pI69810	CDS	pHiyo8-1:complement(294774..295223)	hypothetical protein
arh:AHiyo8_pI69820	CDS	pHiyo8-1:complement(295413..295718)	hypothetical protein
arh:AHiyo8_pI69830	CDS	pHiyo8-1:complement(295730..296002)	hypothetical protein
arh:AHiyo8_pI69840	CDS	pHiyo8-1:complement(295999..296472)	conserved hypothetical protein
arh:AHiyo8_pI69850	CDS	pHiyo8-1:complement(296709..296894)	hypothetical protein
arh:AHiyo8_pI69860	CDS	pHiyo8-1:complement(296885..297040)	hypothetical protein
arh:AHiyo8_pI69870	CDS	pHiyo8-1:297366..298565	insertion element IS110 uncharacterized 43.6 kDa protein
arh:AHiyo8_pI69880	CDS	pHiyo8-1:298596..298898	hypothetical protein
arh:AHiyo8_pI69890	CDS	pHiyo8-1:complement(298878..299126)	single-stranded DNA-binding protein
arh:AHiyo8_pI69900	CDS	pHiyo8-1:complement(299149..299346)	hypothetical protein
arh:AHiyo8_pI69910	CDS	pHiyo8-1:complement(299346..299615)	glutaredoxin-like protein NrdH
arh:AHiyo8_pI69920	CDS	pHiyo8-1:299660..299989	hypothetical protein
arh:AHiyo8_pI69930	CDS	pHiyo8-1:complement(299986..300570)	transposase for insertion sequence element IS1086
arh:AHiyo8_pI69940	CDS	pHiyo8-1:complement(300567..301787)	transposase InsI for insertion sequence element IS30D
arh:AHiyo8_pI69950	CDS	pHiyo8-1:302073..302888	integrase domain protein SAM domain protein
arh:AHiyo8_pI69960	CDS	pHiyo8-1:302870..303055	hypothetical protein
arh:AHiyo8_pI69970	CDS	pHiyo8-1:303040..303555	integrase domain protein SAM domain protein
arh:AHiyo8_pI69980	CDS	pHiyo8-1:303552..303707	hypothetical protein
arh:AHiyo8_pI69990	CDS	pHiyo8-1:303847..305319	conserved hypothetical protein
arh:AHiyo8_pI70000	CDS	pHiyo8-1:305338..306108	hypothetical protein
arh:AHiyo8_pI70010	CDS	pHiyo8-1:306249..306968	hypothetical protein
arh:AHiyo8_pI70020	CDS	pHiyo8-1:complement(306826..307383)	hypothetical protein
arh:AHiyo8_pI70030	CDS	pHiyo8-1:307433..307588	hypothetical protein
arh:AHiyo8_pI70040	CDS	pHiyo8-1:complement(308007..308432)	conserved hypothetical protein
arh:AHiyo8_pI70050	CDS	pHiyo8-1:complement(308474..308731)	uncharacterized protein YrkD
arh:AHiyo8_pI70060	CDS	pHiyo8-1:308850..309470	conserved hypothetical protein
arh:AHiyo8_pI70070	CDS	pHiyo8-1:309467..310225	UPF0721 transmembrane protein MJ0441
arh:AHiyo8_pI70080	CDS	pHiyo8-1:310261..310602	thiosulfate sulfurtransferase GlpE
arh:AHiyo8_pI70090	CDS	pHiyo8-1:310651..310899	hypothetical protein
arh:AHiyo8_pI70100	CDS	pHiyo8-1:310971..311417	putative thioredoxin-2
arh:AHiyo8_pI70110	CDS	pHiyo8-1:311500..312909	uncharacterized protein YcbL
arh:AHiyo8_pI70120	CDS	pHiyo8-1:313008..313406	major facilitator protein
arh:AHiyo8_pII70130	gene	pHiyo8-2:complement(<1..95)	AHiyo8_pII70130
arh:AHiyo8_pII70140	CDS	pHiyo8-2:complement(426..653)	hypothetical protein
arh:AHiyo8_pII70150	CDS	pHiyo8-2:complement(772..1005)	hypothetical protein
arh:AHiyo8_pII70160	CDS	pHiyo8-2:1331..1459	hypothetical protein
arh:AHiyo8_pII70170	CDS	pHiyo8-2:complement(1843..2394)	DNA-invertase hin
arh:AHiyo8_pII70180	CDS	pHiyo8-2:complement(2385..2528)	hypothetical protein
arh:AHiyo8_pII70190	CDS	pHiyo8-2:complement(2547..2642)	hypothetical protein
arh:AHiyo8_pII70200	CDS	pHiyo8-2:complement(2688..3503)	hypothetical protein
arh:AHiyo8_pII70210	CDS	pHiyo8-2:complement(3500..4012)	hypothetical protein
arh:AHiyo8_pII70220	CDS	pHiyo8-2:complement(4009..4164)	hypothetical protein
arh:AHiyo8_pII70230	CDS	pHiyo8-2:complement(4338..4601)	hypothetical protein
arh:AHiyo8_pII70240	CDS	pHiyo8-2:complement(5461..5616)	hypothetical protein
arh:AHiyo8_pII70250	CDS	pHiyo8-2:complement(5947..6174)	hypothetical protein
arh:AHiyo8_pII70260	CDS	pHiyo8-2:complement(6293..6526)	hypothetical protein
arh:AHiyo8_pII70270	CDS	pHiyo8-2:6852..6980	hypothetical protein
arh:AHiyo8_pII70280	CDS	pHiyo8-2:complement(7365..7916)	DNA-invertase hin
arh:AHiyo8_pII70290	CDS	pHiyo8-2:complement(8209..9024)	hypothetical protein
arh:AHiyo8_pII70300	CDS	pHiyo8-2:complement(9021..9533)	hypothetical protein
arh:AHiyo8_pII70310	CDS	pHiyo8-2:complement(9530..9685)	hypothetical protein
arh:AHiyo8_pII70320	CDS	pHiyo8-2:complement(9858..10121)	hypothetical protein
arh:AHiyo8_pII70330	CDS	pHiyo8-2:complement(10979..11134)	hypothetical protein
arh:AHiyo8_pII70340	CDS	pHiyo8-2:complement(11466..11693)	hypothetical protein
arh:AHiyo8_pII70350	CDS	pHiyo8-2:complement(11812..12045)	hypothetical protein
arh:AHiyo8_pII70360	CDS	pHiyo8-2:12372..12500	hypothetical protein
arh:AHiyo8_pII70370	CDS	pHiyo8-2:complement(12885..13436)	DNA-invertase hin
arh:AHiyo8_pII70380	CDS	pHiyo8-2:complement(13427..13570)	hypothetical protein
arh:AHiyo8_pII70390	CDS	pHiyo8-2:complement(13589..13684)	hypothetical protein
arh:AHiyo8_pII70400	CDS	pHiyo8-2:complement(13730..14545)	hypothetical protein
arh:AHiyo8_00010	CDS	complement(309..704)	penicillin-Binding protein
arh:AHiyo8_00020	CDS	complement(942..1157)	prolipoprotein diacylglyceryl transferase
arh:AHiyo8_00030	CDS	complement(1103..1501)	prolipoprotein diacylglyceryl transferase
arh:AHiyo8_00040	CDS	complement(1877..2680)	multidrug resistance protein stp
arh:AHiyo8_00050	CDS	complement(2680..2955)	uncharacterized MFS-type transporter Rv1250/MT1289
arh:AHiyo8_00060	CDS	complement(2928..3386)	uncharacterized MFS-type transporter YvkA
arh:AHiyo8_00070	CDS	3428..3967	uncharacterized HTH-type transcriptional regulator Mb0904
arh:AHiyo8_00080	CDS	3964..4170	hypothetical protein
arh:AHiyo8_00090	CDS	complement(4724..5197)	transposase
arh:AHiyo8_00100	CDS	5903..6592	hypothetical protein
arh:AHiyo8_00110	CDS	6534..7226	pseudomonalisin
arh:AHiyo8_00120	CDS	complement(7463..8212)	peptidase S8 and S53 subtilisin kexin sedolisin
arh:AHiyo8_00130	CDS	complement(8306..9172)	hypothetical protein
arh:AHiyo8_00140	CDS	9295..9510	hypothetical protein
arh:AHiyo8_00150	CDS	complement(10085..10882)	polysaccharide deacetylase
arh:AHiyo8_00160	CDS	11293..11604	hypothetical protein
arh:AHiyo8_00170	CDS	complement(11622..11717)	hypothetical protein
arh:AHiyo8_00180	CDS	12091..12432	hypothetical protein
arh:AHiyo8_00190	CDS	12423..12626	ECF RNA polymerase sigma factor SigD
arh:AHiyo8_00200	CDS	12623..12958	hypothetical protein
arh:AHiyo8_00210	CDS	12955..13569	hypothetical protein
arh:AHiyo8_00220	CDS	complement(13634..13825)	hypothetical protein
arh:AHiyo8_00230	CDS	complement(14057..14629)	glycosyltransferase
arh:AHiyo8_00240	CDS	complement(14671..15204)	xyloglucan glycosyltransferase 4
arh:AHiyo8_00250	CDS	complement(15201..15602)	glycosyltransferase
arh:AHiyo8_00260	CDS	complement(15602..15928)	hypothetical protein
arh:AHiyo8_00270	CDS	complement(16587..16850)	hypothetical protein
arh:AHiyo8_00280	CDS	complement(16979..18550)	protein involved in DNA integration
arh:AHiyo8_00290	CDS	18853..19020	hypothetical protein
arh:AHiyo8_00300	CDS	complement(19192..19413)	hypothetical protein
arh:AHiyo8_00310	CDS	complement(19404..19670)	hypothetical protein
arh:AHiyo8_00320	CDS	complement(19817..20005)	hypothetical protein
arh:AHiyo8_00330	CDS	complement(20318..20881)	hypothetical protein
arh:AHiyo8_00340	CDS	complement(20881..22209)	integrase domain protein SAM domain protein
arh:AHiyo8_00350	CDS	22473..22784	protein SamA
arh:AHiyo8_00360	CDS	22865..23239	protein UmuC
arh:AHiyo8_00370	CDS	23236..24042	protein ImpB
arh:AHiyo8_00380	CDS	24079..24249	hypothetical protein
arh:AHiyo8_00390	CDS	complement(24386..25390)	hypothetical protein
arh:AHiyo8_00400	CDS	25887..26357	hypothetical protein
arh:AHiyo8_00410	CDS	26354..26578	hypothetical protein
arh:AHiyo8_00420	CDS	complement(26664..26903)	hypothetical protein
arh:AHiyo8_00430	CDS	complement(27000..27323)	hypothetical protein
arh:AHiyo8_00440	CDS	27339..27452	hypothetical protein
arh:AHiyo8_00450	CDS	complement(28171..28407)	hypothetical protein
arh:AHiyo8_00460	CDS	29119..29424	hypothetical protein
arh:AHiyo8_00470	CDS	29776..30384	conserved hypothetical protein
arh:AHiyo8_00480	CDS	30392..30613	hypothetical protein
arh:AHiyo8_00490	CDS	30678..31037	hypothetical protein
arh:AHiyo8_00500	CDS	complement(30977..31231)	hypothetical protein
arh:AHiyo8_00510	CDS	complement(31377..31982)	hypothetical protein
arh:AHiyo8_00520	CDS	complement(32272..32613)	conserved hypothetical protein
arh:AHiyo8_00530	CDS	32980..33219	hypothetical protein
arh:AHiyo8_00540	CDS	complement(33365..35029)	ATP-dependent DNA helicase PcrA
arh:AHiyo8_00550	CDS	complement(35026..36021)	protein involved in chromosome condensation
arh:AHiyo8_00560	CDS	complement(36185..36643)	protein involved in chromosome condensation
arh:AHiyo8_00570	CDS	37380..38156	hypothetical protein
arh:AHiyo8_00580	CDS	complement(38814..39794)	conserved hypothetical protein
arh:AHiyo8_00590	CDS	complement(39791..40075)	conserved hypothetical protein
arh:AHiyo8_00600	CDS	complement(40453..40641)	hypothetical protein
arh:AHiyo8_00610	CDS	complement(40641..41930)	hypothetical protein
arh:AHiyo8_00620	CDS	42082..42912	uncharacterized protein y4oD
arh:AHiyo8_00630	CDS	43272..43796	hypothetical protein
arh:AHiyo8_00640	CDS	43793..43972	hypothetical protein
arh:AHiyo8_00650	CDS	44328..45098	probable DNA ligase
arh:AHiyo8_00660	CDS	complement(45209..46435)	conserved hypothetical protein
arh:AHiyo8_00670	CDS	complement(46456..46758)	hypothetical protein
arh:AHiyo8_00680	CDS	complement(47195..47539)	hypothetical protein
arh:AHiyo8_00690	CDS	47925..49241	hypothetical protein
arh:AHiyo8_00700	CDS	49238..50338	kelch-like protein 12
arh:AHiyo8_00710	CDS	complement(50214..51350)	serine protease Do-like HtrA
arh:AHiyo8_00720	CDS	complement(51570..51782)	hypothetical protein
arh:AHiyo8_00730	CDS	complement(51746..52129)	hypothetical protein
arh:AHiyo8_00740	CDS	52567..52767	hypothetical protein
arh:AHiyo8_00750	CDS	complement(52899..53213)	hypothetical protein
arh:AHiyo8_00760	CDS	complement(53637..54686)	protein McrC
arh:AHiyo8_00770	CDS	complement(54683..55960)	5-methylcytosine-specific restriction enzyme B
arh:AHiyo8_00780	CDS	complement(55936..56925)	hypothetical protein
arh:AHiyo8_00790	CDS	57087..57401	hypothetical protein
arh:AHiyo8_00800	CDS	complement(57339..57995)	hypothetical protein
arh:AHiyo8_00810	CDS	58147..58341	hypothetical protein
arh:AHiyo8_00820	CDS	58338..58739	hypothetical protein
arh:AHiyo8_00830	CDS	complement(58781..59662)	insertion element IS630 uncharacterized 39 kDa protein
arh:AHiyo8_00840	CDS	complement(60204..60695)	hypothetical protein
arh:AHiyo8_00850	CDS	61127..61564	hypothetical protein
arh:AHiyo8_00860	CDS	complement(61719..61988)	hypothetical protein
arh:AHiyo8_00870	CDS	complement(61949..62419)	hypothetical protein
arh:AHiyo8_00880	CDS	62851..64347	helicase IV
arh:AHiyo8_00890	CDS	64341..64643	uvrd/Rep helicase
arh:AHiyo8_00900	CDS	64583..64825	helicase IV
arh:AHiyo8_00910	CDS	64822..65484	helicase IV
arh:AHiyo8_00920	CDS	complement(65874..66107)	hypothetical protein
arh:AHiyo8_00930	CDS	complement(66800..67327)	hypothetical protein
arh:AHiyo8_00940	CDS	complement(67368..67643)	hypothetical protein
arh:AHiyo8_00950	CDS	complement(67977..68438)	hypothetical protein
arh:AHiyo8_00960	CDS	complement(68501..69025)	hypothetical protein
arh:AHiyo8_00970	CDS	69177..69797	hypothetical protein
arh:AHiyo8_00980	CDS	complement(69680..70174)	conserved hypothetical protein
arh:AHiyo8_00990	CDS	complement(70159..70851)	uncharacterized protein R97
arh:AHiyo8_01000	CDS	complement(70851..71201)	hypothetical protein
arh:AHiyo8_01010	CDS	complement(71337..71570)	hypothetical protein
arh:AHiyo8_01020	CDS	complement(71516..71941)	hypothetical protein
arh:AHiyo8_01030	CDS	71981..72133	hypothetical protein
arh:AHiyo8_01040	CDS	72351..73403	uncharacterized protein pXO1-141/BXA0211/GBAA_pXO1_0211
arh:AHiyo8_01050	CDS	73477..73881	hypothetical protein
arh:AHiyo8_01060	CDS	73911..74189	hypothetical protein
arh:AHiyo8_01070	CDS	75123..75359	hypothetical protein
arh:AHiyo8_01080	CDS	75347..75616	hypothetical protein
arh:AHiyo8_01090	CDS	75732..76100	hypothetical protein
arh:AHiyo8_01100	CDS	76226..76573	hypothetical protein
arh:AHiyo8_01110	CDS	76579..76713	hypothetical protein
arh:AHiyo8_01120	CDS	76778..77359	hypothetical protein
arh:AHiyo8_01130	CDS	77364..77687	conserved hypothetical protein
arh:AHiyo8_01140	CDS	77790..78065	hypothetical protein
arh:AHiyo8_01150	CDS	78070..78537	swarming motility protein YbiA
arh:AHiyo8_01160	CDS	78707..78961	hypothetical protein
arh:AHiyo8_01170	CDS	79302..79625	hypothetical protein
arh:AHiyo8_01180	CDS	79780..80262	hypothetical protein
arh:AHiyo8_01190	CDS	80283..80690	hypothetical protein
arh:AHiyo8_01200	CDS	80931..81191	hypothetical protein
