chg:AXF12_00010	ncRNA	complement(404..502)	ffs; signal recognition particle sRNA small type
chg:AXF12_08100	CDS	1790616..1791893	glyA; serine hydroxymethyltransferase
chg:AXF12_08105	CDS	1792037..1792666	lipoprotein signal peptidase
chg:AXF12_08110	CDS	1792696..1792908	hypothetical protein
chg:AXF12_08115	CDS	1792942..1795113	DNA mismatch repair protein MutS
chg:AXF12_08120	CDS	1795171..1795710	hypothetical protein
chg:AXF12_08125	CDS	1795726..1796277	16S rRNA (guanine(966)-N(2))-methyltransferase RsmD
chg:AXF12_08130	CDS	complement(1796288..1796974)	DNA alkylation repair protein
chg:AXF12_08135	CDS	1797603..1798052	stearoyl-CoA 9-desaturase
chg:AXF12_08140	CDS	1798115..1800241	RNA-binding transcriptional accessory protein
chg:AXF12_08145	CDS	1800554..1802329	30S ribosomal protein S1
chg:AXF12_08150	CDS	1802841..1803404	hypothetical protein
chg:AXF12_08155	CDS	1803653..1804666	hypothetical protein
chg:AXF12_08160	CDS	1805302..1806552	sterol 3-beta-glucosyltransferase
chg:AXF12_08165	CDS	1806622..1809531	hypothetical protein
chg:AXF12_08170	CDS	1809650..1810294	hypothetical protein
chg:AXF12_08175	CDS	1810297..1810701	hypothetical protein
chg:AXF12_08180	CDS	1811029..1811973	ABC transporter ATP-binding protein
chg:AXF12_08185	CDS	1811970..1813232	ABC transporter permease
chg:AXF12_08190	CDS	1813307..1815403	polyphosphate kinase
chg:AXF12_08195	CDS	1815407..1817095	2-succinyl-5-enolpyruvyl-6-hydroxy-3-cyclohexene-1-carboxylate synthase
chg:AXF12_08200	CDS	1817116..1817463	hypothetical protein
chg:AXF12_08205	CDS	1817890..1819281	arginine decarboxylase
chg:AXF12_08210	CDS	1819434..1820294	hypothetical protein
chg:AXF12_08215	CDS	1821134..1821928	hypothetical protein
chg:AXF12_08220	CDS	complement(1822032..1822706)	tRNA (guanine-N1)-methyltransferase
chg:AXF12_08225	CDS	complement(1822713..1823354)	hypothetical protein
chg:AXF12_08230	CDS	1823494..1825404	peptidase S9
chg:AXF12_08235	CDS	complement(1825655..1826527)	hypothetical protein
chg:AXF12_08240	CDS	complement(1826763..1827761)	galactose mutarotase
chg:AXF12_08245	CDS	1828295..1829467	phosphoribosylformylglycinamidine cyclo-ligase
chg:AXF12_08250	CDS	1829558..1830730	hypothetical protein
chg:AXF12_08255	CDS	1830854..1832209	peptidylprolyl isomerase
chg:AXF12_08260	CDS	1832217..1832519	hypothetical protein
chg:AXF12_08265	CDS	complement(1832585..1833304)	transcriptional regulator
chg:AXF12_08270	CDS	complement(1833308..1833904)	hypothetical protein
chg:AXF12_08275	CDS	complement(1833901..1835073)	capsule biosynthesis protein CapA
chg:AXF12_08280	CDS	complement(1835096..1835767)	phosphatidylserine decarboxylase
chg:AXF12_08285	CDS	complement(1835970..1837223)	aminotransferase
chg:AXF12_08290	CDS	complement(1837278..1838123)	transketolase
chg:AXF12_08295	gene	1838304..1839097	pseudogene
chg:AXF12_08300	CDS	complement(1839586..1841193)	bacillithiol biosynthesis cysteine-adding enzyme BshC
chg:AXF12_08305	CDS	complement(1841218..1841514)	hypothetical protein
chg:AXF12_08310	CDS	1841650..1842363	16S rRNA methyltransferase
chg:AXF12_08315	CDS	complement(1842431..1843627)	flagellar motor protein MotB
chg:AXF12_08320	CDS	complement(1843719..1844009)	RNA polymerase subunit sigma-54
chg:AXF12_08325	CDS	complement(1844039..1844950)	integrase
chg:AXF12_08330	CDS	1845451..1845984	hypothetical protein
chg:AXF12_08335	CDS	1846006..1846551	crossover junction endodeoxyribonuclease RuvC
chg:AXF12_08340	CDS	1846656..1847705	coproporphyrinogen III oxidase
chg:AXF12_08345	CDS	complement(1847706..1848185)	hypothetical protein
chg:AXF12_08350	CDS	complement(1848178..1849533)	exonuclease
chg:AXF12_08355	CDS	complement(1849603..1849950)	50S ribosomal protein L19
chg:AXF12_08360	CDS	complement(1850188..1851261)	peptide chain release factor 1
chg:AXF12_08365	CDS	complement(1851771..1852283)	hypothetical protein
chg:AXF12_08370	CDS	1852652..1853401	triose-phosphate isomerase
chg:AXF12_08375	CDS	1853486..1854517	hemE; uroporphyrinogen decarboxylase
chg:AXF12_08380	CDS	complement(1854598..1855761)	serine hydrolase
chg:AXF12_08385	CDS	complement(1855856..1856737)	succinate--CoA ligase subunit alpha
chg:AXF12_08390	CDS	complement(1856981..1858603)	pyruvate dehydrogenase
chg:AXF12_08395	CDS	complement(1858718..1859716)	pyruvate dehydrogenase (acetyl-transferring) E1 component subunit alpha
chg:AXF12_08400	CDS	1860621..1862810	ATP-dependent DNA helicase RecQ
chg:AXF12_08405	CDS	complement(1862904..1864322)	chromosomal replication initiation protein DnaA
chg:AXF12_08410	CDS	1864534..1864953	thioesterase
chg:AXF12_08415	CDS	complement(1864950..1866692)	hypothetical protein
chg:AXF12_08420	CDS	complement(1866682..1867500)	hypothetical protein
chg:AXF12_08425	CDS	complement(1867497..1868630)	lipid-A-disaccharide synthase
chg:AXF12_08430	CDS	complement(1868635..1869336)	peptidylprolyl isomerase
chg:AXF12_08435	CDS	complement(1869338..1870105)	alpha/beta hydrolase
chg:AXF12_08440	CDS	complement(1870235..1870825)	50S ribosomal protein L25/general stress protein Ctc
chg:AXF12_08445	CDS	complement(1870850..1871794)	ribose-phosphate pyrophosphokinase
chg:AXF12_08450	CDS	complement(1871964..1872680)	DNA repair protein RecO
chg:AXF12_08455	CDS	1873034..1874440	RNA methyltransferase
chg:AXF12_08460	CDS	1874456..1874749	hypothetical protein
chg:AXF12_08465	CDS	1874796..1875446	endonuclease III
chg:AXF12_08470	CDS	1875451..1876719	adenosylmethionine-8-amino-7-oxononanoate aminotransferase
chg:AXF12_08475	CDS	complement(1876784..1877656)	hypothetical protein
chg:AXF12_08480	CDS	1878000..1879205	diaminopimelate decarboxylase
chg:AXF12_08485	CDS	complement(1879267..1880664)	fumC; class II fumarate hydratase
chg:AXF12_08490	CDS	complement(1881340..1883685)	beta-N-acetylhexosaminidase
chg:AXF12_08495	CDS	complement(1883871..1885262)	dihydrolipoyl dehydrogenase
chg:AXF12_08500	CDS	complement(1885517..1886593)	permease
chg:AXF12_08505	CDS	1887329..1889845	DNA gyrase subunit A
chg:AXF12_08510	CDS	1889952..1891244	glycosyl transferase family 1
chg:AXF12_08515	CDS	1891426..1893009	phosphoenolpyruvate carboxykinase
chg:AXF12_08520	CDS	1893161..1893385	hypothetical protein
chg:AXF12_08525	CDS	1893370..1893645	addiction module toxin YoeB
chg:AXF12_08530	CDS	1893772..1894761	aspartate-semialdehyde dehydrogenase
chg:AXF12_08535	gene	complement(1894840..1895710)	pseudogene
chg:AXF12_08540	CDS	complement(1895773..1896123)	arsenate reductase
chg:AXF12_08545	CDS	complement(1896140..1896904)	transcriptional regulator
chg:AXF12_08550	CDS	complement(1896924..1897847)	homoserine kinase
chg:AXF12_08555	CDS	complement(1897982..1898485)	hypothetical protein
chg:AXF12_08560	CDS	complement(1898575..1899669)	DNA polymerase III subunit gamma/tau
chg:AXF12_08565	gene	complement(1899774..1900286)	pseudogene
chg:AXF12_08570	CDS	complement(1900289..1900492)	hypothetical protein
chg:AXF12_08575	CDS	1900677..1901261	phosphoesterase
chg:AXF12_08580	CDS	1901266..1902534	hypothetical protein
chg:AXF12_08585	CDS	complement(1902531..1903100)	hypothetical protein
chg:AXF12_08590	CDS	complement(1903175..1904881)	phosphoglucomutase
chg:AXF12_08595	CDS	1906246..1908363	hypothetical protein
chg:AXF12_08600	CDS	1908449..1910452	hypothetical protein
chg:AXF12_08605	CDS	1910473..1911783	phenylacetate--CoA ligase
chg:AXF12_08610	CDS	complement(1911925..1913343)	tRNA nucleotidyltransferase
chg:AXF12_08615	CDS	complement(1913395..1914186)	2-dehydro-3-deoxyphosphogluconate aldolase
chg:AXF12_08620	CDS	complement(1914195..1914767)	hypothetical protein
chg:AXF12_08625	CDS	1915061..1918375	transcription-repair coupling factor
chg:AXF12_08630	CDS	complement(1918783..1919298)	hypothetical protein
chg:AXF12_08635	CDS	complement(1919462..1919902)	acetyltransferase
chg:AXF12_08640	CDS	complement(1919915..1920721)	orotidine 5'-phosphate decarboxylase
chg:AXF12_08645	CDS	complement(1920947..1923592)	AraC family transcriptional regulator
chg:AXF12_08650	CDS	complement(1923840..1924721)	2-dehydro-3-deoxygluconokinase
chg:AXF12_08655	CDS	complement(1925486..1926601)	MFS transporter
chg:AXF12_08660	CDS	complement(1926665..1928851)	invertase
chg:AXF12_08665	CDS	complement(1929158..1930621)	glycosyl hydrolase
chg:AXF12_08670	CDS	complement(1930755..1932113)	glycoside hydrolase xylanase
chg:AXF12_08675	CDS	complement(1932119..1933783)	glycan metabolism protein RagB
chg:AXF12_08680	CDS	complement(1933804..1936947)	SusC/RagA family TonB-linked outer membrane protein
chg:AXF12_08685	CDS	complement(1937203..1937682)	hypothetical protein
chg:AXF12_08690	CDS	complement(1937697..1937933)	hypothetical protein
chg:AXF12_08695	CDS	complement(1937962..1938642)	NAD-dependent deacylase
chg:AXF12_08700	CDS	complement(1938851..1939129)	DNA-binding protein
chg:AXF12_08705	CDS	1939328..1940272	antitermination protein NusB
chg:AXF12_08710	CDS	1940307..1940603	preprotein translocase
chg:AXF12_08715	CDS	complement(1940679..1941365)	chemotaxis protein
chg:AXF12_08720	CDS	complement(1941557..1942807)	S-adenosylmethionine synthase
chg:AXF12_08725	CDS	1943153..1945027	ABC transporter
chg:AXF12_08730	CDS	1945099..1945884	hypothetical protein
chg:AXF12_08735	CDS	complement(1945846..1946745)	gliding motility-associated ABC transporter ATP-binding subunit GldA
chg:AXF12_08740	CDS	1947176..1947706	ferritin
chg:AXF12_08745	CDS	1947706..1948734	epimerase
chg:AXF12_08750	CDS	1948730..1949407	urease-associated protein
chg:AXF12_08755	CDS	1949420..1950418	tetraacyldisaccharide 4'-kinase
chg:AXF12_08760	CDS	1950453..1951001	thioredoxin
chg:AXF12_08765	CDS	1951102..1952265	Fis family transcriptional regulator
chg:AXF12_08770	CDS	complement(1952360..1953949)	prfC; peptide chain release factor 3
chg:AXF12_08775	CDS	complement(1953987..1955204)	phosphoesterase
chg:AXF12_08780	CDS	complement(1955215..1955934)	copper homeostasis protein CutC
chg:AXF12_08785	CDS	1956704..1957414	hypothetical protein
chg:AXF12_08790	CDS	1957437..1957919	cytidine deaminase
chg:AXF12_08795	CDS	complement(1957990..1958856)	lipid A biosynthesis acyltransferase
chg:AXF12_08800	CDS	1958911..1959552	rhomboid family intramembrane serine protease
chg:AXF12_08805	CDS	1959628..1960311	hypothetical protein
chg:AXF12_08810	CDS	complement(1960491..1961765)	4-hydroxybutyrate CoA-transferase
chg:AXF12_08815	CDS	1961879..1962289	hypothetical protein
chg:AXF12_08820	CDS	1962361..1963104	glycerol acyltransferase
chg:AXF12_08825	CDS	complement(1963172..1963702)	ribosome maturation factor RimM
chg:AXF12_08830	CDS	complement(1963709..1964227)	rpsP; 30S ribosomal protein S16
chg:AXF12_08835	CDS	1964664..1964960	hypothetical protein
chg:AXF12_08840	CDS	1964926..1965126	hypothetical protein
chg:AXF12_08845	CDS	1965185..1967524	ATP-dependent DNA helicase
chg:AXF12_08850	CDS	complement(1967593..1968633)	glutamine cyclotransferase
chg:AXF12_08855	CDS	complement(1968646..1969629)	hypothetical protein
chg:AXF12_08860	CDS	complement(1969626..1970324)	pseudouridine synthase
chg:AXF12_08865	CDS	complement(1970326..1970994)	hypothetical protein
chg:AXF12_08870	CDS	complement(1971152..1972393)	efflux transporter periplasmic adaptor subunit
chg:AXF12_08875	CDS	complement(1972428..1973723)	transporter
chg:AXF12_08880	CDS	1974083..1974916	ribosomal protein L11 methyltransferase
chg:AXF12_08885	CDS	1974921..1975208	Clp protease ClpS
chg:AXF12_08890	CDS	1975340..1976113	DNA polymerase III subunit epsilon
chg:AXF12_08895	CDS	1976166..1976621	hypothetical protein
chg:AXF12_08900	CDS	1976624..1976818	hypothetical protein
chg:AXF12_08905	CDS	1976875..1979070	MFS transporter
chg:AXF12_08910	CDS	1979076..1979606	RNA methyltransferase
chg:AXF12_08915	CDS	1979697..1981166	IMP dehydrogenase
chg:AXF12_08920	CDS	complement(1981756..1993413)	hypothetical protein
chg:AXF12_08925	CDS	complement(1993729..1994637)	metallophosphatase
chg:AXF12_08930	CDS	complement(1994642..1995424)	hypothetical protein
chg:AXF12_08935	CDS	1995461..1996006	hypothetical protein
chg:AXF12_08940	CDS	1996010..1996879	4-hydroxy-tetrahydrodipicolinate synthase
chg:AXF12_08945	CDS	complement(1997109..1998803)	peptidoglycan-binding protein
chg:AXF12_08950	CDS	complement(1998994..1999434)	hypothetical protein
chg:AXF12_08955	CDS	complement(1999451..2000035)	nicotinic acid mononucleotide adenylyltransferase
chg:AXF12_08960	CDS	complement(2000035..2000598)	guanylate kinase
chg:AXF12_08965	CDS	complement(2000622..2001473)	hypothetical protein
chg:AXF12_08970	CDS	2001675..2002148	protein-tyrosine-phosphatase
chg:AXF12_08975	CDS	2002148..2002843	SAM-dependent methyltransferase
chg:AXF12_08980	CDS	complement(2002855..2003730)	abortive phage infection protein
chg:AXF12_08985	CDS	complement(2003951..2004199)	hypothetical protein
chg:AXF12_08990	CDS	complement(2004201..2006186)	alpha-L-fucosidase
chg:AXF12_08995	CDS	complement(2006268..2006909)	methyltransferase
chg:AXF12_09000	CDS	2007059..2007634	nicotinamidase
chg:AXF12_09005	CDS	2007768..2009348	hypothetical protein
chg:AXF12_09010	CDS	complement(2009670..2010308)	hypothetical protein
chg:AXF12_09015	CDS	complement(2010690..2011310)	ATP-dependent dethiobiotin synthetase BioD
chg:AXF12_09020	CDS	2011471..2012403	malate dehydrogenase
chg:AXF12_09025	CDS	complement(2012484..2013209)	RNA methyltransferase
chg:AXF12_09030	gene	2013250..2015822	pseudogene
chg:AXF12_09035	CDS	complement(2016331..2016837)	gamma carbonic anhydrase family protein
chg:AXF12_09040	CDS	complement(2016971..2018059)	biotin synthase
chg:AXF12_09045	CDS	2018624..2018944	hypothetical protein
chg:AXF12_09050	CDS	2018941..2019402	hypothetical protein
chg:AXF12_09055	CDS	2019414..2020094	hypothetical protein
chg:AXF12_09060	CDS	complement(2020623..2021339)	cytidylate kinase
chg:AXF12_09065	CDS	2021555..2022676	8-amino-7-oxononanoate synthase
chg:AXF12_09070	CDS	2022813..2023946	N-acetylmuramoyl-L-alanine amidase
chg:AXF12_09075	CDS	2023965..2024930	ABC transporter substrate-binding protein
chg:AXF12_09080	CDS	2024948..2026273	Fe-S oxidoreductase
chg:AXF12_09085	CDS	complement(2026337..2027611)	MFS transporter
chg:AXF12_09090	CDS	2027967..2028431	Fur family transcriptional regulator
chg:AXF12_09095	CDS	2028444..2029715	adenylosuccinate synthetase
chg:AXF12_09100	CDS	complement(2029786..2030103)	hypothetical protein
chg:AXF12_09105	CDS	complement(2030230..2033064)	ABC-ATPase UvrA
chg:AXF12_09110	CDS	complement(2033449..2035260)	hypothetical protein
chg:AXF12_09115	CDS	complement(2035266..2035571)	hypothetical protein
chg:AXF12_09120	CDS	complement(2035534..2035776)	hypothetical protein
chg:AXF12_09125	CDS	complement(2035855..2037297)	hypothetical protein
chg:AXF12_09130	CDS	2037625..2039103	all-trans-retinol 13,14-reductase
chg:AXF12_09135	CDS	complement(2039179..2041269)	endothelin-converting protein
chg:AXF12_09140	CDS	complement(2041291..2041497)	hypothetical protein
chg:AXF12_09145	CDS	complement(2041499..2041930)	hypothetical protein
chg:AXF12_09150	CDS	complement(2041927..2042505)	flavoprotein oxygenase
chg:AXF12_09155	CDS	complement(2042638..2043441)	hypothetical protein
chg:AXF12_09160	CDS	complement(2043505..2044539)	hypothetical protein
chg:AXF12_09165	CDS	complement(2044594..2044980)	hypothetical protein
chg:AXF12_09170	CDS	2045455..2046144	hypothetical protein
chg:AXF12_09175	CDS	complement(2046317..2047474)	transmembrane permease
chg:AXF12_09180	CDS	2047458..2048780	hypothetical protein
chg:AXF12_09185	CDS	2048856..2049713	glycoside hydrolase
chg:AXF12_09190	CDS	2049732..2050316	5-formyltetrahydrofolate cyclo-ligase
chg:AXF12_09195	CDS	complement(2050277..2051014)	aroE; shikimate dehydrogenase
chg:AXF12_09200	CDS	complement(2051018..2052265)	ABC transporter permease
chg:AXF12_09205	CDS	2052357..2053889	bifunctional phosphoribosylaminoimidazolecarboxamide formyltransferase/inosine monophosphate cyclohydrolase
chg:AXF12_09210	CDS	2053987..2054724	ABC transporter permease
chg:AXF12_09215	CDS	complement(2054805..2055146)	hypothetical protein
chg:AXF12_09220	CDS	complement(2055244..2056089)	hypothetical protein
chg:AXF12_09225	CDS	2056514..2057212	4-hydroxy-tetrahydrodipicolinate reductase
chg:AXF12_09230	CDS	2057209..2058039	haloacid dehalogenase
chg:AXF12_09235	CDS	2058086..2059624	S26 family signal peptidase
chg:AXF12_09240	CDS	2059626..2060261	hypothetical protein
chg:AXF12_09245	CDS	complement(2060498..2060728)	hypothetical protein
chg:AXF12_09250	CDS	complement(2061119..2061733)	2-hydroxyhepta-2,4-diene-1,7-dioate isomerase
chg:AXF12_09255	CDS	complement(2061763..2062380)	hypothetical protein
chg:AXF12_09260	CDS	complement(2062398..2062772)	chromosome condensation protein CrcB
chg:AXF12_09265	CDS	complement(2062782..2063384)	NUDIX hydrolase
chg:AXF12_09270	CDS	2063390..2064031	orotate phosphoribosyltransferase
chg:AXF12_09275	CDS	2064053..2064829	hypothetical protein
chg:AXF12_09280	CDS	2064885..2065277	orotate phosphoribosyltransferase
chg:AXF12_09285	CDS	2065277..2066341	chorismate synthase
chg:AXF12_09290	CDS	complement(2066391..2067107)	3'-5' exonuclease
chg:AXF12_09295	CDS	complement(2067172..2067747)	ACP phosphodiesterase
chg:AXF12_09300	CDS	complement(2067744..2070377)	alanine--tRNA ligase
chg:AXF12_09305	CDS	2070646..2071599	transketolase
chg:AXF12_09310	CDS	complement(2071709..2072767)	nucleoid-associated protein NdpA
chg:AXF12_09315	CDS	complement(2072804..2073313)	hypothetical protein
chg:AXF12_09320	CDS	complement(2073462..2074592)	peptidylprolyl isomerase
chg:AXF12_09325	CDS	complement(2074618..2075190)	gliding motility-associated peptidyl-prolyl isomerase GldI
chg:AXF12_09330	CDS	complement(2075242..2076246)	exopolyphosphatase
chg:AXF12_09335	tRNA	complement(2076456..2076532)	tRNA-Arg
chg:AXF12_09340	tRNA	complement(2076615..2076692)	tRNA-Pro
chg:AXF12_09345	tRNA	complement(2076729..2076812)	tRNA-Ser
chg:AXF12_09350	CDS	complement(2076985..2078091)	acyltransferase
chg:AXF12_09355	CDS	complement(2078164..2078853)	5'-methylthioadenosine nucleosidase
chg:AXF12_09360	CDS	complement(2079041..2080054)	thiamine biosynthesis protein
chg:AXF12_09365	CDS	complement(2080105..2080869)	SAM-dependent methyltransferase
chg:AXF12_09370	CDS	complement(2080965..2081744)	phosphatidic acid phosphatase
chg:AXF12_09375	CDS	2082141..2084897	restriction endonuclease subunit R
chg:AXF12_09380	CDS	2084902..2086392	DNA methyltransferase
chg:AXF12_09385	gene	2086389..2087003	pseudogene
chg:AXF12_09390	CDS	complement(2087724..2088944)	hypothetical protein
chg:AXF12_09395	CDS	2089068..2089871	integrase
chg:AXF12_09400	CDS	complement(2089940..2092447)	beta-galactosidase
chg:AXF12_09405	CDS	complement(2092523..2092789)	hypothetical protein
chg:AXF12_09410	CDS	complement(2092798..2093529)	hypothetical protein
chg:AXF12_09415	CDS	complement(2093601..2094446)	hypothetical protein
chg:AXF12_09420	CDS	complement(2094519..2095433)	hypothetical protein
chg:AXF12_09425	CDS	complement(2095420..2095812)	hypothetical protein
chg:AXF12_09430	CDS	complement(2095852..2097507)	hypothetical protein
chg:AXF12_09435	CDS	2097752..2098492	RNA methyltransferase
chg:AXF12_09440	CDS	complement(2098667..2099620)	histidine kinase
chg:AXF12_09445	CDS	complement(2099762..2100019)	hypothetical protein
chg:AXF12_09450	CDS	2100069..2102789	haloacid dehalogenase
chg:AXF12_09455	CDS	2102970..2105222	alpha-mannosidase
chg:AXF12_09460	CDS	2105226..2106218	dTDP-glucose 4,6-dehydratase
chg:AXF12_09465	CDS	complement(2106361..2107068)	cell division protein FtsQ
chg:AXF12_09470	CDS	complement(2107218..2107826)	CDP-alcohol phosphatidyltransferase
chg:AXF12_09475	CDS	complement(2107823..2108797)	polyprenyl synthetase
chg:AXF12_09480	CDS	complement(2108794..2109432)	semialdehyde dehydrogenase
chg:AXF12_09485	tRNA	2109799..2109871	tRNA-Pro
chg:AXF12_09490	CDS	2109887..2110936	S-adenosylmethionine:tRNA ribosyltransferase-isomerase
chg:AXF12_09495	CDS	2111054..2111545	phosphoribosyltransferase
chg:AXF12_09500	CDS	2111621..2113489	citrate transporter
chg:AXF12_09505	gene	2113593..2113805	pseudogene
chg:AXF12_09510	CDS	2113892..2115049	cysteine desulfurase
chg:AXF12_09515	CDS	2115210..2117024	chromosome segregation protein
chg:AXF12_09520	CDS	2117117..2117707	non-canonical purine NTP pyrophosphatase
chg:AXF12_09525	CDS	2117759..2118454	macrolide ABC transporter ATP-binding protein
chg:AXF12_09530	CDS	2118487..2119341	glycosyl transferase family 2
chg:AXF12_09535	CDS	2119944..2120681	hypothetical protein
chg:AXF12_09540	CDS	2120812..2123190	transketolase
chg:AXF12_09545	CDS	complement(2123270..2123653)	RNA-binding protein
chg:AXF12_09550	CDS	2123741..2124574	peptidylprolyl isomerase
chg:AXF12_09555	CDS	2124601..2125302	phosphatidylserine synthase
chg:AXF12_09560	CDS	complement(2125270..2127210)	competence protein
chg:AXF12_09565	CDS	complement(2127207..2128070)	hypothetical protein
chg:AXF12_09570	CDS	complement(2128113..2130656)	Clp protease ClpC
chg:AXF12_09575	CDS	complement(2130993..2132243)	hypothetical protein
chg:AXF12_09580	CDS	complement(2132329..2133279)	hypothetical protein
chg:AXF12_09585	CDS	complement(2133307..2133537)	hypothetical protein
chg:AXF12_09590	CDS	complement(2133979..2135628)	hypothetical protein
chg:AXF12_09595	CDS	complement(2135789..2137147)	hypothetical protein
chg:AXF12_09600	CDS	complement(2137300..2140152)	carbamoyl phosphate synthase large subunit
chg:AXF12_09605	CDS	complement(2140734..2141444)	hypothetical protein
chg:AXF12_09610	CDS	2141774..2144002	helicase
chg:AXF12_09615	CDS	complement(2144052..2144552)	hypothetical protein
chg:AXF12_09620	CDS	complement(2144669..2145148)	biopolymer transporter ExbD
chg:AXF12_09625	CDS	complement(2145162..2145776)	biopolymer transporter ExbD
chg:AXF12_09630	CDS	complement(2145781..2146182)	hypothetical protein
chg:AXF12_09635	CDS	complement(2146210..2146944)	flagellar motor protein MotA
chg:AXF12_09640	tRNA	complement(2147014..2147101)	tRNA-Ser
chg:AXF12_09645	CDS	complement(2147165..2148193)	L-asparaginase 1
chg:AXF12_09650	CDS	complement(2148180..2149313)	glycerol acyltransferase
chg:AXF12_09655	CDS	complement(2149439..2150200)	hydrolase TatD
chg:AXF12_09660	CDS	complement(2150640..2151851)	hypothetical protein
chg:AXF12_09665	CDS	2152202..2156539	hypothetical protein
chg:AXF12_09670	CDS	2156686..2158809	hypothetical protein
chg:AXF12_09675	CDS	2158934..2160262	potassium transporter KtrB
chg:AXF12_09680	CDS	2160266..2160919	potassium transporter KtrA
chg:AXF12_09685	CDS	2161573..2162289	hypothetical protein
chg:AXF12_09690	CDS	2162296..2163243	methionyl-tRNA formyltransferase
chg:AXF12_09695	CDS	complement(2163316..2164866)	permease
chg:AXF12_09700	CDS	complement(2164939..2165580)	hypothetical protein
chg:AXF12_09705	CDS	complement(2165666..2168053)	cell division protein FtsK
chg:AXF12_09710	CDS	complement(2168398..2168895)	tpx; lipid hydroperoxide peroxidase
chg:AXF12_09715	CDS	2169009..2169548	hypothetical protein
chg:AXF12_09720	CDS	2169594..2170688	DoxX family protein
chg:AXF12_09725	CDS	2170688..2171611	tyrosine recombinase XerD
chg:AXF12_09730	CDS	complement(2171670..2172041)	DNA-binding protein
chg:AXF12_09735	CDS	complement(2172219..2174525)	penicillin-binding protein
chg:AXF12_09740	CDS	complement(2174534..2175022)	gliding motility lipoprotein GldH
chg:AXF12_09745	CDS	complement(2175009..2176313)	hypothetical protein
chg:AXF12_09750	CDS	complement(2176734..2179889)	multidrug transporter AcrB
chg:AXF12_09755	gene	complement(2180102..2180848)	pseudogene
chg:AXF12_09760	gene	complement(2181002..2182387)	pseudogene
chg:AXF12_09765	CDS	complement(2182537..2183097)	hypothetical protein
chg:AXF12_09770	CDS	complement(2183397..2183942)	hypothetical protein
chg:AXF12_09775	CDS	complement(2184007..2185104)	efflux transporter periplasmic adaptor subunit
chg:AXF12_09780	CDS	complement(2185243..2185626)	hypothetical protein
chg:AXF12_09785	CDS	complement(2185692..2186339)	hypothetical protein
chg:AXF12_09790	CDS	2186439..2187623	aminopeptidase
chg:AXF12_09795	CDS	complement(2187714..2188091)	reactive intermediate/imine deaminase
chg:AXF12_09800	CDS	complement(2188105..2189799)	peptidase M23
chg:AXF12_09805	CDS	2190178..2190876	chemotaxis protein
chg:AXF12_09810	CDS	2190917..2191594	chemotaxis protein
chg:AXF12_09815	CDS	2191714..2193510	long-chain fatty acid--CoA ligase
chg:AXF12_09820	CDS	complement(2193583..2194266)	RNA pseudouridine synthase
chg:AXF12_09825	CDS	complement(2194202..2194993)	hypothetical protein
chg:AXF12_09830	CDS	complement(2194993..2195811)	3-methyl-2-oxobutanoate hydroxymethyltransferase
chg:AXF12_09835	CDS	2196202..2196447	hypothetical protein
chg:AXF12_09840	CDS	complement(2196436..2197410)	hypothetical protein
chg:AXF12_09845	CDS	complement(2197540..2199090)	replicative DNA helicase
chg:AXF12_09850	CDS	complement(2199277..2200230)	acetyl-CoA carboxyl transferase
chg:AXF12_09855	CDS	complement(2200360..2201727)	UDP-N-acetylmuramate--alanine ligase
chg:AXF12_09860	CDS	complement(2201730..2202638)	hypothetical protein
chg:AXF12_09865	CDS	complement(2202657..2203748)	UDP-N-acetylglucosamine--N-acetylmuramyl-(pentapeptide) pyrophosphoryl-undecaprenol N-acetylglucosamine transferase
chg:AXF12_09870	CDS	complement(2203831..2207370)	glycerol acyltransferase
chg:AXF12_09875	CDS	complement(2207458..2207796)	hypothetical protein
chg:AXF12_09880	CDS	complement(2207786..2208394)	hypothetical protein
chg:AXF12_09885	CDS	complement(2208561..2210738)	glutamine synthetase
chg:AXF12_09890	CDS	2211205..2211741	hypothetical protein
chg:AXF12_09895	CDS	2211842..2212741	sulfate adenylyltransferase
chg:AXF12_09900	CDS	2212931..2213629	hydrolase
chg:AXF12_09905	CDS	complement(2213689..2214180)	thioredoxin
chg:AXF12_09910	CDS	2214411..2215055	ribulose phosphate epimerase
chg:AXF12_09915	CDS	2215087..2215680	restriction endonuclease
chg:AXF12_09920	CDS	2215688..2218048	hypothetical protein
chg:AXF12_09925	CDS	2218048..2218890	prephenate dehydrogenase
chg:AXF12_09930	CDS	2218989..2219267	hypothetical protein
chg:AXF12_09935	CDS	2219297..2221681	hypothetical protein
chg:AXF12_09940	CDS	complement(2221793..2224651)	serine/threonine protein kinase
chg:AXF12_09945	CDS	complement(2224656..2225582)	peroxidase
chg:AXF12_09950	CDS	complement(2225612..2226694)	3-deoxy-7-phosphoheptulonate synthase
chg:AXF12_09955	CDS	complement(2226790..2227743)	elongation factor Ts
chg:AXF12_09960	CDS	complement(2227838..2228581)	30S ribosomal protein S2
chg:AXF12_09965	CDS	complement(2228717..2229103)	30S ribosomal protein S9
chg:AXF12_09970	CDS	complement(2229103..2229558)	50S ribosomal protein L13
chg:AXF12_09975	CDS	complement(2229764..2230786)	ATP-dependent DNA helicase RuvB
chg:AXF12_09980	CDS	complement(2230854..2231459)	pseudouridine synthase
chg:AXF12_09985	CDS	complement(2232337..2232705)	metal transporter
